S,5,T,prob,Connected,4,2,6
0,0.0,0,0.51,False,,,
1,0.0,0,0.51,True,,,
0,1.0,0,0.49,False,,,
1,1.0,0,0.49,False,,,
0,0.0,1,0.51,False,,,
1,0.0,1,0.51,True,,,
0,1.0,1,0.49,False,,,
1,1.0,1,0.49,False,,,
0,,0,0.66,False,0.0,,
1,,0,0.66,False,0.0,,
0,,0,0.34,False,1.0,,
1,,0,0.34,True,1.0,,
0,,1,0.66,False,0.0,,
1,,1,0.66,False,0.0,,
0,,1,0.34,False,1.0,,
1,,1,0.34,True,1.0,,
0,,0,0.4958,False,,0.0,0.0
1,,0,0.4958,False,,0.0,0.0
0,,0,0.2442,False,,1.0,0.0
1,,0,0.2442,False,,1.0,0.0
0,,0,0.17420000000000002,False,,0.0,1.0
1,,0,0.17420000000000002,False,,0.0,1.0
0,,0,0.0858,False,,1.0,1.0
1,,0,0.0858,False,,1.0,1.0
0,,1,0.4958,False,,0.0,0.0
1,,1,0.4958,True,,0.0,0.0
0,,1,0.2442,False,,1.0,0.0
1,,1,0.2442,False,,1.0,0.0
0,,1,0.17420000000000002,False,,0.0,1.0
1,,1,0.17420000000000002,False,,0.0,1.0
0,,1,0.0858,False,,1.0,1.0
1,,1,0.0858,False,,1.0,1.0
