S,10,11,T,prob,Connected,3,7,1,6
0,0.0,0.0,0,0.2862,False,,,,
1,0.0,0.0,0,0.2862,False,,,,
0,1.0,0.0,0,0.24380000000000002,True,,,,
1,1.0,0.0,0,0.24380000000000002,True,,,,
0,0.0,1.0,0,0.2538,False,,,,
1,0.0,1.0,0,0.2538,False,,,,
0,1.0,1.0,0,0.2162,False,,,,
1,1.0,1.0,0,0.2162,False,,,,
0,0.0,0.0,1,0.2862,False,,,,
1,0.0,0.0,1,0.2862,False,,,,
0,1.0,0.0,1,0.24380000000000002,True,,,,
1,1.0,0.0,1,0.24380000000000002,True,,,,
0,0.0,1.0,1,0.2538,False,,,,
1,0.0,1.0,1,0.2538,False,,,,
0,1.0,1.0,1,0.2162,True,,,,
1,1.0,1.0,1,0.2162,True,,,,
0,,,0,0.3905,True,0.0,0.0,,
1,,,0,0.3905,True,0.0,0.0,,
0,,,0,0.1595,False,1.0,0.0,,
1,,,0,0.1595,False,1.0,0.0,,
0,,,0,0.3195,False,0.0,1.0,,
1,,,0,0.3195,False,0.0,1.0,,
0,,,0,0.1305,False,1.0,1.0,,
1,,,0,0.1305,False,1.0,1.0,,
0,,,1,0.3905,False,0.0,0.0,,
1,,,1,0.3905,False,0.0,0.0,,
0,,,1,0.1595,False,1.0,0.0,,
1,,,1,0.1595,False,1.0,0.0,,
0,,,1,0.3195,True,0.0,1.0,,
1,,,1,0.3195,True,0.0,1.0,,
0,,,1,0.1305,False,1.0,1.0,,
1,,,1,0.1305,False,1.0,1.0,,
0,,,0,0.4026,False,,,0.0,0.0
1,,,0,0.4026,False,,,0.0,0.0
0,,,0,0.2574,False,,,1.0,0.0
1,,,0,0.2574,True,,,1.0,0.0
0,,,0,0.2074,False,,,0.0,1.0
1,,,0,0.2074,False,,,0.0,1.0
0,,,0,0.13260000000000002,False,,,1.0,1.0
1,,,0,0.13260000000000002,False,,,1.0,1.0
0,,,1,0.4026,False,,,0.0,0.0
1,,,1,0.4026,False,,,0.0,0.0
0,,,1,0.2574,False,,,1.0,0.0
1,,,1,0.2574,False,,,1.0,0.0
0,,,1,0.2074,False,,,0.0,1.0
1,,,1,0.2074,False,,,0.0,1.0
0,,,1,0.13260000000000002,False,,,1.0,1.0
1,,,1,0.13260000000000002,False,,,1.0,1.0
