S,8,T,prob,Connected,6,5,2,4,7
0,0.0,0,0.7,False,,,,,
1,0.0,0,0.7,False,,,,,
0,1.0,0,0.3,False,,,,,
1,1.0,0,0.3,False,,,,,
0,0.0,1,0.7,False,,,,,
1,0.0,1,0.7,False,,,,,
0,1.0,1,0.3,False,,,,,
1,1.0,1,0.3,False,,,,,
0,0.0,2,0.7,False,,,,,
1,0.0,2,0.7,False,,,,,
0,1.0,2,0.3,False,,,,,
1,1.0,2,0.3,False,,,,,
0,,0,0.62,False,0.0,,,,
1,,0,0.62,False,0.0,,,,
0,,0,0.38,False,1.0,,,,
1,,0,0.38,False,1.0,,,,
0,,1,0.62,False,0.0,,,,
1,,1,0.62,False,0.0,,,,
0,,1,0.38,False,1.0,,,,
1,,1,0.38,True,1.0,,,,
0,,2,0.62,True,0.0,,,,
1,,2,0.62,False,0.0,,,,
0,,2,0.38,False,1.0,,,,
1,,2,0.38,True,1.0,,,,
0,,0,0.44,False,,0.0,,,
1,,0,0.44,False,,0.0,,,
0,,0,0.22,False,,1.0,,,
1,,0,0.22,True,,1.0,,,
0,,0,0.34,False,,2.0,,,
1,,0,0.34,False,,2.0,,,
0,,1,0.44,False,,0.0,,,
1,,1,0.44,False,,0.0,,,
0,,1,0.22,False,,1.0,,,
1,,1,0.22,True,,1.0,,,
0,,1,0.34,False,,2.0,,,
1,,1,0.34,False,,2.0,,,
0,,2,0.44,False,,0.0,,,
1,,2,0.44,False,,0.0,,,
0,,2,0.22,False,,1.0,,,
1,,2,0.22,False,,1.0,,,
0,,2,0.34,False,,2.0,,,
1,,2,0.34,False,,2.0,,,
0,,0,0.46,False,,,0.0,,
1,,0,0.46,False,,,0.0,,
0,,0,0.21,False,,,1.0,,
1,,0,0.21,False,,,1.0,,
0,,0,0.33,False,,,2.0,,
1,,0,0.33,False,,,2.0,,
0,,1,0.46,False,,,0.0,,
1,,1,0.46,False,,,0.0,,
0,,1,0.21,False,,,1.0,,
1,,1,0.21,False,,,1.0,,
0,,1,0.33,False,,,2.0,,
1,,1,0.33,False,,,2.0,,
0,,2,0.46,False,,,0.0,,
1,,2,0.46,False,,,0.0,,
0,,2,0.21,False,,,1.0,,
1,,2,0.21,False,,,1.0,,
0,,2,0.33,False,,,2.0,,
1,,2,0.33,False,,,2.0,,
0,,0,0.35640000000000005,False,,,,0.0,0.0
1,,0,0.35640000000000005,False,,,,0.0,0.0
0,,0,0.1836,False,,,,1.0,0.0
1,,0,0.1836,False,,,,1.0,0.0
0,,0,0.30360000000000004,False,,,,0.0,1.0
1,,0,0.30360000000000004,False,,,,0.0,1.0
0,,0,0.1564,False,,,,1.0,1.0
1,,0,0.1564,False,,,,1.0,1.0
0,,1,0.35640000000000005,False,,,,0.0,0.0
1,,1,0.35640000000000005,False,,,,0.0,0.0
0,,1,0.1836,False,,,,1.0,0.0
1,,1,0.1836,False,,,,1.0,0.0
0,,1,0.30360000000000004,False,,,,0.0,1.0
1,,1,0.30360000000000004,False,,,,0.0,1.0
0,,1,0.1564,False,,,,1.0,1.0
1,,1,0.1564,False,,,,1.0,1.0
0,,2,0.35640000000000005,False,,,,0.0,0.0
1,,2,0.35640000000000005,False,,,,0.0,0.0
0,,2,0.1836,False,,,,1.0,0.0
1,,2,0.1836,False,,,,1.0,0.0
0,,2,0.30360000000000004,False,,,,0.0,1.0
1,,2,0.30360000000000004,False,,,,0.0,1.0
0,,2,0.1564,False,,,,1.0,1.0
1,,2,0.1564,False,,,,1.0,1.0
