S,34,T,prob,Connected,30,24,14,6,32,33,28,29,23,27,18,25,13,20,11,22,7,15,1,9
0,0.0,0,0.78,False,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.78,True,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.22,False,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.22,False,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.78,False,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.78,True,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.22,True,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.22,True,,,,,,,,,,,,,,,,,,,,
0,,0,0.61,True,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.61,False,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.39,False,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.39,False,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.61,True,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.61,False,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.39,True,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.39,False,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.7,False,,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.7,False,,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.3,True,,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.3,False,,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.7,True,,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.7,True,,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.3,True,,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.3,False,,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.54,True,,,0.0,,,,,,,,,,,,,,,,,
1,,0,0.54,True,,,0.0,,,,,,,,,,,,,,,,,
0,,0,0.46,False,,,1.0,,,,,,,,,,,,,,,,,
1,,0,0.46,False,,,1.0,,,,,,,,,,,,,,,,,
0,,1,0.54,True,,,0.0,,,,,,,,,,,,,,,,,
1,,1,0.54,True,,,0.0,,,,,,,,,,,,,,,,,
0,,1,0.46,False,,,1.0,,,,,,,,,,,,,,,,,
1,,1,0.46,False,,,1.0,,,,,,,,,,,,,,,,,
0,,0,0.79,True,,,,0.0,,,,,,,,,,,,,,,,
1,,0,0.79,False,,,,0.0,,,,,,,,,,,,,,,,
0,,0,0.21,True,,,,1.0,,,,,,,,,,,,,,,,
1,,0,0.21,False,,,,1.0,,,,,,,,,,,,,,,,
0,,1,0.79,True,,,,0.0,,,,,,,,,,,,,,,,
1,,1,0.79,False,,,,0.0,,,,,,,,,,,,,,,,
0,,1,0.21,True,,,,1.0,,,,,,,,,,,,,,,,
1,,1,0.21,False,,,,1.0,,,,,,,,,,,,,,,,
0,,0,0.6320000000000001,True,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,0,0.6320000000000001,True,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,0,0.15800000000000003,True,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,0,0.15800000000000003,False,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,0,0.168,True,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,0,0.168,True,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,0,0.042,True,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,0,0.042,False,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,1,0.6320000000000001,True,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,1,0.6320000000000001,True,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,1,0.15800000000000003,True,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,1,0.15800000000000003,False,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,1,0.168,False,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,1,0.168,False,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,1,0.042,False,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,1,0.042,False,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,0,0.3551,True,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,0,0.3551,True,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,0,0.3149,True,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,0,0.3149,True,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,0,0.17490000000000003,False,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,0,0.17490000000000003,False,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,0,0.1551,False,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,0,0.1551,False,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,1,0.3551,True,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,1,0.3551,True,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,1,0.3149,True,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,1,0.3149,True,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,1,0.17490000000000003,False,,,,,,,0.0,1.0,,,,,,,,,,,,
