S,41,T,prob,Connected,36,27,11,7,42,46,40,43,34,37,32,33,29,30,26,28,22,24,20,23,14,15,12,17,8,13
1,,0,0.044800000000000006,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
0,,0,0.0252,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
1,,0,0.0252,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
0,,1,0.3456,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,,1,0.3456,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
0,,1,0.19440000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
1,,1,0.19440000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
0,,1,0.24960000000000002,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
1,,1,0.24960000000000002,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
0,,1,0.1404,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
1,,1,0.1404,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
0,,1,0.044800000000000006,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
1,,1,0.044800000000000006,True,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
0,,1,0.0252,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
1,,1,0.0252,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
