V,Loc_max,Conn_Level,Connectivity,Running Time
36.0,2.0,2.0,0.9975141072461551,0.21510767936706543
36.0,2.0,2.0,0.987092933647388,0.19739294052124023
36.0,2.0,2.0,1.0,0.21514129638671875
36.0,2.0,2.0,0.9967253245298869,0.21031475067138672
36.0,2.0,2.0,0.9904046199334239,0.21572208404541016
36.0,2.0,3.0,1.0,0.21160411834716797
36.0,2.0,3.0,0.9993540543011539,0.2171316146850586
36.0,2.0,3.0,1.0,0.2199699878692627
36.0,2.0,3.0,0.9999904327340685,0.2183222770690918
36.0,2.0,3.0,1.0,0.1925640106201172
