S,8,T,prob,Connected,7,6,5,3,1,10,12
0,0.0,0,0.5,False,,,,,,,
1,0.0,0,0.5,False,,,,,,,
0,1.0,0,0.5,True,,,,,,,
1,1.0,0,0.5,False,,,,,,,
0,0.0,1,0.5,False,,,,,,,
1,0.0,1,0.5,False,,,,,,,
0,1.0,1,0.5,True,,,,,,,
1,1.0,1,0.5,False,,,,,,,
0,,0,0.64,False,0.0,,,,,,
1,,0,0.64,False,0.0,,,,,,
0,,0,0.36,False,1.0,,,,,,
1,,0,0.36,False,1.0,,,,,,
0,,1,0.64,False,0.0,,,,,,
1,,1,0.64,False,0.0,,,,,,
0,,1,0.36,False,1.0,,,,,,
1,,1,0.36,False,1.0,,,,,,
0,,0,0.51,False,,0.0,,,,,
1,,0,0.51,False,,0.0,,,,,
0,,0,0.49,False,,1.0,,,,,
1,,0,0.49,False,,1.0,,,,,
0,,1,0.51,False,,0.0,,,,,
1,,1,0.51,False,,0.0,,,,,
0,,1,0.49,False,,1.0,,,,,
1,,1,0.49,False,,1.0,,,,,
0,,0,0.6,False,,,0.0,,,,
1,,0,0.6,False,,,0.0,,,,
0,,0,0.4,False,,,1.0,,,,
1,,0,0.4,False,,,1.0,,,,
0,,1,0.6,False,,,0.0,,,,
1,,1,0.6,False,,,0.0,,,,
0,,1,0.4,True,,,1.0,,,,
1,,1,0.4,False,,,1.0,,,,
0,,0,0.76,False,,,,0.0,,,
1,,0,0.76,False,,,,0.0,,,
0,,0,0.24,True,,,,1.0,,,
1,,0,0.24,False,,,,1.0,,,
0,,1,0.76,True,,,,0.0,,,
1,,1,0.76,False,,,,0.0,,,
0,,1,0.24,False,,,,1.0,,,
1,,1,0.24,False,,,,1.0,,,
0,,0,0.75,False,,,,,0.0,,
1,,0,0.75,False,,,,,0.0,,
0,,0,0.25,False,,,,,1.0,,
1,,0,0.25,False,,,,,1.0,,
0,,1,0.75,False,,,,,0.0,,
1,,1,0.75,True,,,,,0.0,,
0,,1,0.25,False,,,,,1.0,,
1,,1,0.25,False,,,,,1.0,,
0,,0,0.42089999999999994,False,,,,,,0.0,0.0
1,,0,0.42089999999999994,False,,,,,,0.0,0.0
0,,0,0.2691,False,,,,,,1.0,0.0
1,,0,0.2691,False,,,,,,1.0,0.0
0,,0,0.1891,False,,,,,,0.0,1.0
1,,0,0.1891,False,,,,,,0.0,1.0
0,,0,0.12090000000000001,False,,,,,,1.0,1.0
1,,0,0.12090000000000001,False,,,,,,1.0,1.0
0,,1,0.42089999999999994,False,,,,,,0.0,0.0
1,,1,0.42089999999999994,False,,,,,,0.0,0.0
0,,1,0.2691,False,,,,,,1.0,0.0
1,,1,0.2691,False,,,,,,1.0,0.0
0,,1,0.1891,False,,,,,,0.0,1.0
1,,1,0.1891,False,,,,,,0.0,1.0
0,,1,0.12090000000000001,False,,,,,,1.0,1.0
1,,1,0.12090000000000001,True,,,,,,1.0,1.0
