S,4,T,prob,Connected,3,2,5
0,0.0,0,0.23,False,,,
1,0.0,0,0.23,False,,,
0,1.0,0,0.38,False,,,
1,1.0,0,0.38,False,,,
0,2.0,0,0.39,False,,,
1,2.0,0,0.39,False,,,
0,0.0,1,0.23,True,,,
1,0.0,1,0.23,False,,,
0,1.0,1,0.38,True,,,
1,1.0,1,0.38,True,,,
0,2.0,1,0.39,False,,,
1,2.0,1,0.39,False,,,
0,0.0,2,0.23,False,,,
1,0.0,2,0.23,False,,,
0,1.0,2,0.38,True,,,
1,1.0,2,0.38,True,,,
0,2.0,2,0.39,False,,,
1,2.0,2,0.39,False,,,
0,,0,0.6,False,0.0,,
1,,0,0.6,False,0.0,,
0,,0,0.4,False,1.0,,
1,,0,0.4,True,1.0,,
0,,1,0.6,True,0.0,,
1,,1,0.6,False,0.0,,
0,,1,0.4,False,1.0,,
1,,1,0.4,False,1.0,,
0,,2,0.6,False,0.0,,
1,,2,0.6,False,0.0,,
0,,2,0.4,False,1.0,,
1,,2,0.4,True,1.0,,
0,,0,0.1508,True,,0.0,0.0
1,,0,0.1508,False,,0.0,0.0
0,,0,0.0572,False,,1.0,0.0
1,,0,0.0572,False,,1.0,0.0
0,,0,0.052000000000000005,False,,2.0,0.0
1,,0,0.052000000000000005,False,,2.0,0.0
0,,0,0.42919999999999997,False,,0.0,1.0
1,,0,0.42919999999999997,False,,0.0,1.0
0,,0,0.1628,False,,1.0,1.0
1,,0,0.1628,False,,1.0,1.0
0,,0,0.148,False,,2.0,1.0
1,,0,0.148,False,,2.0,1.0
0,,1,0.1508,True,,0.0,0.0
1,,1,0.1508,False,,0.0,0.0
0,,1,0.0572,False,,1.0,0.0
1,,1,0.0572,False,,1.0,0.0
0,,1,0.052000000000000005,False,,2.0,0.0
1,,1,0.052000000000000005,False,,2.0,0.0
0,,1,0.42919999999999997,True,,0.0,1.0
1,,1,0.42919999999999997,False,,0.0,1.0
0,,1,0.1628,False,,1.0,1.0
1,,1,0.1628,False,,1.0,1.0
0,,1,0.148,False,,2.0,1.0
1,,1,0.148,False,,2.0,1.0
0,,2,0.1508,False,,0.0,0.0
1,,2,0.1508,False,,0.0,0.0
0,,2,0.0572,False,,1.0,0.0
1,,2,0.0572,False,,1.0,0.0
0,,2,0.052000000000000005,False,,2.0,0.0
1,,2,0.052000000000000005,False,,2.0,0.0
0,,2,0.42919999999999997,False,,0.0,1.0
1,,2,0.42919999999999997,False,,0.0,1.0
0,,2,0.1628,False,,1.0,1.0
1,,2,0.1628,False,,1.0,1.0
0,,2,0.148,False,,2.0,1.0
1,,2,0.148,False,,2.0,1.0
