S,8,T,prob,Connected,7,3,1
0,0.0,0,0.51,False,,,
1,0.0,0,0.51,True,,,
0,1.0,0,0.49,True,,,
1,1.0,0,0.49,True,,,
0,0.0,1,0.51,False,,,
1,0.0,1,0.51,False,,,
0,1.0,1,0.49,True,,,
1,1.0,1,0.49,True,,,
0,,0,0.8,True,0.0,,
1,,0,0.8,False,0.0,,
0,,0,0.2,False,1.0,,
1,,0,0.2,True,1.0,,
0,,1,0.8,True,0.0,,
1,,1,0.8,False,0.0,,
0,,1,0.2,False,1.0,,
1,,1,0.2,True,1.0,,
0,,0,0.75,False,,0.0,
1,,0,0.75,True,,0.0,
0,,0,0.25,True,,1.0,
1,,0,0.25,False,,1.0,
0,,1,0.75,False,,0.0,
1,,1,0.75,False,,0.0,
0,,1,0.25,False,,1.0,
1,,1,0.25,False,,1.0,
0,,0,0.72,False,,,0.0
1,,0,0.72,True,,,0.0
0,,0,0.28,False,,,1.0
1,,0,0.28,False,,,1.0
0,,1,0.72,False,,,0.0
1,,1,0.72,False,,,0.0
0,,1,0.28,True,,,1.0
1,,1,0.28,False,,,1.0
