S,10,T,prob,Connected,9,7,3
0,0.0,0,0.57,True,,,
1,0.0,0,0.57,False,,,
0,1.0,0,0.43,False,,,
1,1.0,0,0.43,False,,,
0,0.0,1,0.57,False,,,
1,0.0,1,0.57,False,,,
0,1.0,1,0.43,False,,,
1,1.0,1,0.43,False,,,
0,,0,0.79,False,0.0,,
1,,0,0.79,False,0.0,,
0,,0,0.21,False,1.0,,
1,,0,0.21,True,1.0,,
0,,1,0.79,False,0.0,,
1,,1,0.79,False,0.0,,
0,,1,0.21,False,1.0,,
1,,1,0.21,False,1.0,,
0,,0,0.56,False,,0.0,
1,,0,0.56,False,,0.0,
0,,0,0.44,True,,1.0,
1,,0,0.44,True,,1.0,
0,,1,0.56,False,,0.0,
1,,1,0.56,False,,0.0,
0,,1,0.44,False,,1.0,
1,,1,0.44,False,,1.0,
0,,0,0.68,False,,,0.0
1,,0,0.68,False,,,0.0
0,,0,0.32,True,,,1.0
1,,0,0.32,True,,,1.0
0,,1,0.68,False,,,0.0
1,,1,0.68,False,,,0.0
0,,1,0.32,True,,,1.0
1,,1,0.32,True,,,1.0
