S,46,51,T,prob,Connected,45,48,43,47,40,42,33,39,31,35,25,34,23,36,21,29,20,30,18,28,17,27,5,22,4,16,1,9,13
0,0.0,0.0,0,0.20520000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,0,0.20520000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0,0.20520000000000002,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,0,0.1596,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0.0,0,0.1596,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0.0,0,0.1596,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0.0,0,0.0152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0.0,0,0.0152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,0.0,0,0.0152,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.0,0,0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,0,0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1.0,0,0.1728,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,0,0.1344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1.0,0,0.1344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1.0,0,0.1344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1.0,0,0.0128,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1.0,0,0.0128,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1.0,0,0.0128,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2.0,0,0.162,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
