S,34,T,prob,Connected,31,30,18,15,29,32,24,27,22,26,21,25,17,20,11,12,7,8,4,5
0,0.0,0,0.65,True,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.65,False,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.35,True,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.35,True,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.65,True,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.65,False,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.35,True,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.35,True,,,,,,,,,,,,,,,,,,,,
0,,0,0.56,True,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.56,True,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.44,True,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.44,True,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.56,True,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.56,True,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.44,True,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.44,True,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.66,True,,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.66,True,,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.34,True,,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.34,True,,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.66,True,,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.66,True,,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.34,True,,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.34,True,,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.57,True,,,0.0,,,,,,,,,,,,,,,,,
1,,0,0.57,True,,,0.0,,,,,,,,,,,,,,,,,
0,,0,0.43,True,,,1.0,,,,,,,,,,,,,,,,,
1,,0,0.43,True,,,1.0,,,,,,,,,,,,,,,,,
0,,1,0.57,True,,,0.0,,,,,,,,,,,,,,,,,
1,,1,0.57,True,,,0.0,,,,,,,,,,,,,,,,,
0,,1,0.43,False,,,1.0,,,,,,,,,,,,,,,,,
1,,1,0.43,False,,,1.0,,,,,,,,,,,,,,,,,
0,,0,0.65,True,,,,0.0,,,,,,,,,,,,,,,,
1,,0,0.65,True,,,,0.0,,,,,,,,,,,,,,,,
0,,0,0.35,True,,,,1.0,,,,,,,,,,,,,,,,
1,,0,0.35,True,,,,1.0,,,,,,,,,,,,,,,,
0,,1,0.65,True,,,,0.0,,,,,,,,,,,,,,,,
1,,1,0.65,True,,,,0.0,,,,,,,,,,,,,,,,
0,,1,0.35,True,,,,1.0,,,,,,,,,,,,,,,,
1,,1,0.35,True,,,,1.0,,,,,,,,,,,,,,,,
0,,0,0.402,True,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,0,0.402,True,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,0,0.198,False,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,0,0.198,True,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,0,0.268,True,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,0,0.268,True,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,0,0.132,False,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,0,0.132,True,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,1,0.402,True,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,1,0.402,True,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,1,0.198,False,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,1,0.198,True,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,1,0.268,True,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,1,0.268,True,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,1,0.132,False,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,1,0.132,True,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,0,0.4446,True,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,0,0.4446,True,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,0,0.12539999999999998,True,,,,,,,1.0,0.0,,,,,,,,,,,,
