S,32,T,prob,Connected,27,25,14,9,5,56,58,52,53,46,50,44,47,36,42,35,40,33,38,28,29,22,26,19,24,17,23,16,20,12,21,11,18,8,15,4,10
0,0.0,0,0.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.6,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2,0.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,2,0.6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2,0.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.27,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.27,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.59,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.59,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.14,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.14,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.27,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.27,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.59,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.59,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.14,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.14,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.27,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.27,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.59,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.59,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.14,False,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.14,True,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.41,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.41,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.51,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.51,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.08,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.08,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.41,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.41,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.51,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.51,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.08,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.08,True,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.41,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.41,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.51,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.51,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.08,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.08,False,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.5,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.5,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.5,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.5,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.5,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.5,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.5,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.5,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.5,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.5,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.5,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.5,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.31,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.31,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.69,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.69,True,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.31,False,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
