S,28,29,T,prob,Connected,22,25,19,20,11,18,9,16,2,14,32,33,34
0,0.0,0.0,0,0.3245,False,,,,,,,,,,,,,
1,0.0,0.0,0,0.3245,False,,,,,,,,,,,,,
0,1.0,0.0,0,0.2655,False,,,,,,,,,,,,,
1,1.0,0.0,0,0.2655,False,,,,,,,,,,,,,
0,0.0,1.0,0,0.2255,False,,,,,,,,,,,,,
1,0.0,1.0,0,0.2255,False,,,,,,,,,,,,,
0,1.0,1.0,0,0.1845,True,,,,,,,,,,,,,
1,1.0,1.0,0,0.1845,True,,,,,,,,,,,,,
0,0.0,0.0,1,0.3245,True,,,,,,,,,,,,,
1,0.0,0.0,1,0.3245,True,,,,,,,,,,,,,
0,1.0,0.0,1,0.2655,True,,,,,,,,,,,,,
1,1.0,0.0,1,0.2655,True,,,,,,,,,,,,,
0,0.0,1.0,1,0.2255,False,,,,,,,,,,,,,
1,0.0,1.0,1,0.2255,False,,,,,,,,,,,,,
0,1.0,1.0,1,0.1845,True,,,,,,,,,,,,,
1,1.0,1.0,1,0.1845,True,,,,,,,,,,,,,
0,,,0,0.3402,False,0.0,0.0,,,,,,,,,,,
1,,,0,0.3402,False,0.0,0.0,,,,,,,,,,,
0,,,0,0.2898,True,1.0,0.0,,,,,,,,,,,
1,,,0,0.2898,True,1.0,0.0,,,,,,,,,,,
0,,,0,0.1998,True,0.0,1.0,,,,,,,,,,,
1,,,0,0.1998,True,0.0,1.0,,,,,,,,,,,
0,,,0,0.17020000000000002,True,1.0,1.0,,,,,,,,,,,
1,,,0,0.17020000000000002,True,1.0,1.0,,,,,,,,,,,
0,,,1,0.3402,False,0.0,0.0,,,,,,,,,,,
1,,,1,0.3402,False,0.0,0.0,,,,,,,,,,,
0,,,1,0.2898,True,1.0,0.0,,,,,,,,,,,
1,,,1,0.2898,True,1.0,0.0,,,,,,,,,,,
0,,,1,0.1998,False,0.0,1.0,,,,,,,,,,,
1,,,1,0.1998,False,0.0,1.0,,,,,,,,,,,
0,,,1,0.17020000000000002,False,1.0,1.0,,,,,,,,,,,
1,,,1,0.17020000000000002,False,1.0,1.0,,,,,,,,,,,
0,,,0,0.396,False,,,0.0,0.0,,,,,,,,,
1,,,0,0.396,False,,,0.0,0.0,,,,,,,,,
0,,,0,0.264,False,,,1.0,0.0,,,,,,,,,
1,,,0,0.264,False,,,1.0,0.0,,,,,,,,,
0,,,0,0.20400000000000001,True,,,0.0,1.0,,,,,,,,,
1,,,0,0.20400000000000001,False,,,0.0,1.0,,,,,,,,,
0,,,0,0.136,True,,,1.0,1.0,,,,,,,,,
1,,,0,0.136,True,,,1.0,1.0,,,,,,,,,
0,,,1,0.396,True,,,0.0,0.0,,,,,,,,,
1,,,1,0.396,False,,,0.0,0.0,,,,,,,,,
0,,,1,0.264,True,,,1.0,0.0,,,,,,,,,
1,,,1,0.264,True,,,1.0,0.0,,,,,,,,,
0,,,1,0.20400000000000001,False,,,0.0,1.0,,,,,,,,,
1,,,1,0.20400000000000001,False,,,0.0,1.0,,,,,,,,,
0,,,1,0.136,False,,,1.0,1.0,,,,,,,,,
1,,,1,0.136,False,,,1.0,1.0,,,,,,,,,
0,,,0,0.48960000000000004,True,,,,,0.0,0.0,,,,,,,
1,,,0,0.48960000000000004,True,,,,,0.0,0.0,,,,,,,
0,,,0,0.2304,True,,,,,1.0,0.0,,,,,,,
1,,,0,0.2304,True,,,,,1.0,0.0,,,,,,,
0,,,0,0.19040000000000004,True,,,,,0.0,1.0,,,,,,,
1,,,0,0.19040000000000004,True,,,,,0.0,1.0,,,,,,,
