S,5,T,prob,Connected,4,6
0,0.0,0,0.39,True,,
1,0.0,0,0.39,False,,
2,0.0,0,0.39,True,,
3,0.0,0,0.39,False,,
0,1.0,0,0.23,True,,
1,1.0,0,0.23,True,,
2,1.0,0,0.23,True,,
3,1.0,0,0.23,True,,
0,2.0,0,0.23,False,,
1,2.0,0,0.23,False,,
2,2.0,0,0.23,False,,
3,2.0,0,0.23,False,,
0,3.0,0,0.15,False,,
1,3.0,0,0.15,True,,
2,3.0,0,0.15,True,,
3,3.0,0,0.15,True,,
0,0.0,1,0.39,False,,
1,0.0,1,0.39,False,,
2,0.0,1,0.39,False,,
3,0.0,1,0.39,False,,
0,1.0,1,0.23,True,,
1,1.0,1,0.23,True,,
2,1.0,1,0.23,True,,
3,1.0,1,0.23,True,,
0,2.0,1,0.23,False,,
1,2.0,1,0.23,False,,
2,2.0,1,0.23,False,,
3,2.0,1,0.23,False,,
0,3.0,1,0.15,False,,
1,3.0,1,0.15,False,,
2,3.0,1,0.15,False,,
3,3.0,1,0.15,False,,
0,0.0,2,0.39,True,,
1,0.0,2,0.39,False,,
2,0.0,2,0.39,True,,
3,0.0,2,0.39,False,,
0,1.0,2,0.23,True,,
1,1.0,2,0.23,True,,
2,1.0,2,0.23,True,,
3,1.0,2,0.23,True,,
0,2.0,2,0.23,False,,
1,2.0,2,0.23,False,,
2,2.0,2,0.23,False,,
3,2.0,2,0.23,False,,
0,3.0,2,0.15,False,,
1,3.0,2,0.15,True,,
2,3.0,2,0.15,True,,
3,3.0,2,0.15,True,,
0,0.0,3,0.39,True,,
1,0.0,3,0.39,False,,
2,0.0,3,0.39,True,,
3,0.0,3,0.39,False,,
0,1.0,3,0.23,True,,
1,1.0,3,0.23,True,,
2,1.0,3,0.23,True,,
3,1.0,3,0.23,True,,
0,2.0,3,0.23,False,,
1,2.0,3,0.23,False,,
2,2.0,3,0.23,False,,
3,2.0,3,0.23,False,,
0,3.0,3,0.15,False,,
1,3.0,3,0.15,True,,
2,3.0,3,0.15,True,,
3,3.0,3,0.15,True,,
0,,0,0.072,False,0.0,0.0
1,,0,0.072,False,0.0,0.0
2,,0,0.072,False,0.0,0.0
3,,0,0.072,False,0.0,0.0
0,,0,0.044000000000000004,True,1.0,0.0
1,,0,0.044000000000000004,True,1.0,0.0
2,,0,0.044000000000000004,True,1.0,0.0
3,,0,0.044000000000000004,False,1.0,0.0
0,,0,0.048,False,2.0,0.0
1,,0,0.048,False,2.0,0.0
2,,0,0.048,True,2.0,0.0
3,,0,0.048,True,2.0,0.0
0,,0,0.236,False,3.0,0.0
1,,0,0.236,False,3.0,0.0
2,,0,0.236,False,3.0,0.0
3,,0,0.236,False,3.0,0.0
0,,0,0.027,True,0.0,1.0
1,,0,0.027,True,0.0,1.0
2,,0,0.027,False,0.0,1.0
3,,0,0.027,True,0.0,1.0
0,,0,0.0165,False,1.0,1.0
1,,0,0.0165,False,1.0,1.0
2,,0,0.0165,False,1.0,1.0
3,,0,0.0165,False,1.0,1.0
0,,0,0.018,False,2.0,1.0
1,,0,0.018,False,2.0,1.0
2,,0,0.018,True,2.0,1.0
3,,0,0.018,True,2.0,1.0
0,,0,0.0885,False,3.0,1.0
1,,0,0.0885,True,3.0,1.0
2,,0,0.0885,False,3.0,1.0
3,,0,0.0885,False,3.0,1.0
0,,0,0.081,False,0.0,2.0
1,,0,0.081,False,0.0,2.0
2,,0,0.081,False,0.0,2.0
3,,0,0.081,False,0.0,2.0
0,,0,0.0495,True,1.0,2.0
1,,0,0.0495,True,1.0,2.0
2,,0,0.0495,True,1.0,2.0
3,,0,0.0495,False,1.0,2.0
0,,0,0.054,False,2.0,2.0
1,,0,0.054,False,2.0,2.0
2,,0,0.054,False,2.0,2.0
3,,0,0.054,False,2.0,2.0
0,,0,0.2655,False,3.0,2.0
1,,0,0.2655,True,3.0,2.0
2,,0,0.2655,False,3.0,2.0
3,,0,0.2655,False,3.0,2.0
0,,1,0.072,False,0.0,0.0
1,,1,0.072,False,0.0,0.0
2,,1,0.072,False,0.0,0.0
3,,1,0.072,False,0.0,0.0
0,,1,0.044000000000000004,False,1.0,0.0
1,,1,0.044000000000000004,False,1.0,0.0
2,,1,0.044000000000000004,False,1.0,0.0
3,,1,0.044000000000000004,False,1.0,0.0
0,,1,0.048,False,2.0,0.0
1,,1,0.048,False,2.0,0.0
2,,1,0.048,False,2.0,0.0
3,,1,0.048,False,2.0,0.0
0,,1,0.236,False,3.0,0.0
1,,1,0.236,False,3.0,0.0
2,,1,0.236,False,3.0,0.0
3,,1,0.236,False,3.0,0.0
0,,1,0.027,True,0.0,1.0
1,,1,0.027,True,0.0,1.0
2,,1,0.027,False,0.0,1.0
3,,1,0.027,True,0.0,1.0
0,,1,0.0165,False,1.0,1.0
1,,1,0.0165,False,1.0,1.0
2,,1,0.0165,False,1.0,1.0
