S,5,T,prob,Connected,4,3,2,1
0,0.0,0,0.06,False,,,,
1,0.0,0,0.06,False,,,,
2,0.0,0,0.06,False,,,,
3,0.0,0,0.06,False,,,,
0,1.0,0,0.07,False,,,,
1,1.0,0,0.07,False,,,,
2,1.0,0,0.07,True,,,,
3,1.0,0,0.07,False,,,,
0,2.0,0,0.17,False,,,,
1,2.0,0,0.17,False,,,,
2,2.0,0,0.17,False,,,,
3,2.0,0,0.17,False,,,,
0,3.0,0,0.09,False,,,,
1,3.0,0,0.09,False,,,,
2,3.0,0,0.09,False,,,,
3,3.0,0,0.09,False,,,,
0,0.0,1,0.06,False,,,,
1,0.0,1,0.06,True,,,,
2,0.0,1,0.06,False,,,,
3,0.0,1,0.06,True,,,,
0,1.0,1,0.07,False,,,,
1,1.0,1,0.07,False,,,,
2,1.0,1,0.07,True,,,,
3,1.0,1,0.07,False,,,,
0,2.0,1,0.17,False,,,,
1,2.0,1,0.17,False,,,,
2,2.0,1,0.17,False,,,,
3,2.0,1,0.17,False,,,,
0,3.0,1,0.09,False,,,,
1,3.0,1,0.09,False,,,,
2,3.0,1,0.09,False,,,,
3,3.0,1,0.09,False,,,,
0,0.0,2,0.06,False,,,,
1,0.0,2,0.06,False,,,,
2,0.0,2,0.06,False,,,,
3,0.0,2,0.06,False,,,,
0,1.0,2,0.07,False,,,,
1,1.0,2,0.07,False,,,,
2,1.0,2,0.07,False,,,,
3,1.0,2,0.07,False,,,,
0,2.0,2,0.17,False,,,,
1,2.0,2,0.17,False,,,,
2,2.0,2,0.17,False,,,,
3,2.0,2,0.17,False,,,,
0,3.0,2,0.09,True,,,,
1,3.0,2,0.09,False,,,,
2,3.0,2,0.09,True,,,,
3,3.0,2,0.09,True,,,,
0,0.0,3,0.06,False,,,,
1,0.0,3,0.06,True,,,,
2,0.0,3,0.06,False,,,,
3,0.0,3,0.06,True,,,,
0,1.0,3,0.07,False,,,,
1,1.0,3,0.07,False,,,,
2,1.0,3,0.07,True,,,,
3,1.0,3,0.07,False,,,,
0,2.0,3,0.17,True,,,,
1,2.0,3,0.17,False,,,,
2,2.0,3,0.17,True,,,,
3,2.0,3,0.17,False,,,,
0,3.0,3,0.09,True,,,,
1,3.0,3,0.09,False,,,,
2,3.0,3,0.09,True,,,,
3,3.0,3,0.09,True,,,,
0,,0,0.13,False,0.0,,,
1,,0,0.13,False,0.0,,,
2,,0,0.13,True,0.0,,,
3,,0,0.13,True,0.0,,,
0,,0,0.08,False,1.0,,,
1,,0,0.08,False,1.0,,,
2,,0,0.08,False,1.0,,,
3,,0,0.08,False,1.0,,,
0,,0,0.16,False,2.0,,,
1,,0,0.16,False,2.0,,,
2,,0,0.16,False,2.0,,,
3,,0,0.16,False,2.0,,,
0,,0,0.01,False,3.0,,,
1,,0,0.01,False,3.0,,,
2,,0,0.01,False,3.0,,,
3,,0,0.01,False,3.0,,,
0,,1,0.13,False,0.0,,,
1,,1,0.13,False,0.0,,,
2,,1,0.13,True,0.0,,,
3,,1,0.13,True,0.0,,,
0,,1,0.08,False,1.0,,,
1,,1,0.08,False,1.0,,,
2,,1,0.08,False,1.0,,,
3,,1,0.08,False,1.0,,,
0,,1,0.16,True,2.0,,,
1,,1,0.16,False,2.0,,,
2,,1,0.16,False,2.0,,,
3,,1,0.16,False,2.0,,,
0,,1,0.01,False,3.0,,,
1,,1,0.01,False,3.0,,,
2,,1,0.01,False,3.0,,,
3,,1,0.01,False,3.0,,,
0,,2,0.13,False,0.0,,,
1,,2,0.13,False,0.0,,,
2,,2,0.13,True,0.0,,,
3,,2,0.13,True,0.0,,,
0,,2,0.08,False,1.0,,,
1,,2,0.08,False,1.0,,,
2,,2,0.08,False,1.0,,,
3,,2,0.08,False,1.0,,,
0,,2,0.16,True,2.0,,,
1,,2,0.16,False,2.0,,,
2,,2,0.16,False,2.0,,,
3,,2,0.16,False,2.0,,,
0,,2,0.01,False,3.0,,,
1,,2,0.01,False,3.0,,,
2,,2,0.01,False,3.0,,,
3,,2,0.01,False,3.0,,,
0,,3,0.13,False,0.0,,,
1,,3,0.13,False,0.0,,,
2,,3,0.13,True,0.0,,,
3,,3,0.13,True,0.0,,,
0,,3,0.08,True,1.0,,,
