S,13,T,prob,Connected,12,6,3,2,9,10
0,0.0,0,0.74,False,,,,,,
1,0.0,0,0.74,False,,,,,,
0,1.0,0,0.26,False,,,,,,
1,1.0,0,0.26,True,,,,,,
0,0.0,1,0.74,False,,,,,,
1,0.0,1,0.74,False,,,,,,
0,1.0,1,0.26,False,,,,,,
1,1.0,1,0.26,False,,,,,,
0,,0,0.7,False,0.0,,,,,
1,,0,0.7,False,0.0,,,,,
0,,0,0.3,True,1.0,,,,,
1,,0,0.3,True,1.0,,,,,
0,,1,0.7,True,0.0,,,,,
1,,1,0.7,True,0.0,,,,,
0,,1,0.3,False,1.0,,,,,
1,,1,0.3,False,1.0,,,,,
0,,0,0.8,False,,0.0,,,,
1,,0,0.8,False,,0.0,,,,
0,,0,0.2,False,,1.0,,,,
1,,0,0.2,False,,1.0,,,,
0,,1,0.8,False,,0.0,,,,
1,,1,0.8,False,,0.0,,,,
0,,1,0.2,True,,1.0,,,,
1,,1,0.2,True,,1.0,,,,
0,,0,0.78,False,,,0.0,,,
1,,0,0.78,False,,,0.0,,,
0,,0,0.22,False,,,1.0,,,
1,,0,0.22,False,,,1.0,,,
0,,1,0.78,False,,,0.0,,,
1,,1,0.78,False,,,0.0,,,
0,,1,0.22,False,,,1.0,,,
1,,1,0.22,False,,,1.0,,,
0,,0,0.59,False,,,,0.0,,
1,,0,0.59,False,,,,0.0,,
0,,0,0.41,False,,,,1.0,,
1,,0,0.41,True,,,,1.0,,
0,,1,0.59,False,,,,0.0,,
1,,1,0.59,True,,,,0.0,,
0,,1,0.41,False,,,,1.0,,
1,,1,0.41,True,,,,1.0,,
0,,0,0.5700000000000001,False,,,,,0.0,0.0
1,,0,0.5700000000000001,False,,,,,0.0,0.0
0,,0,0.18,True,,,,,1.0,0.0
1,,0,0.18,False,,,,,1.0,0.0
0,,0,0.19,True,,,,,0.0,1.0
1,,0,0.19,False,,,,,0.0,1.0
0,,0,0.06,False,,,,,1.0,1.0
1,,0,0.06,False,,,,,1.0,1.0
0,,1,0.5700000000000001,False,,,,,0.0,0.0
1,,1,0.5700000000000001,False,,,,,0.0,0.0
0,,1,0.18,True,,,,,1.0,0.0
1,,1,0.18,False,,,,,1.0,0.0
0,,1,0.19,True,,,,,0.0,1.0
1,,1,0.19,False,,,,,0.0,1.0
0,,1,0.06,False,,,,,1.0,1.0
1,,1,0.06,False,,,,,1.0,1.0
