S,62,T,prob,Connected,61,17,58,59,51,56,50,55,44,54,42,53,41,52,33,43,21,34,20,40,9,37,5,35,1,31,27,48,49
0,,1,0.10360000000000001,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.10360000000000001,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1258,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1258,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1406,False,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1406,False,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.05600000000000001,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.05600000000000001,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.068,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.068,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.07600000000000001,False,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.07600000000000001,False,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.12040000000000001,False,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.12040000000000001,True,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1462,True,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1462,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.1634,False,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.1634,False,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.10360000000000001,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.10360000000000001,False,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.1258,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.1258,False,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.1406,False,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.1406,False,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.05600000000000001,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.05600000000000001,False,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.068,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.068,False,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.07600000000000001,False,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.07600000000000001,False,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.12040000000000001,False,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.12040000000000001,True,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.1462,True,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.1462,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.1634,False,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.1634,False,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.23920000000000002,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.23920000000000002,False,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.17020000000000002,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.17020000000000002,False,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.0506,False,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
