S,8,10,T,prob,Connected
0,0,0,0,0.6240000000000001,False
1,0,0,0,0.6240000000000001,False
0,1,0,0,0.17600000000000002,True
1,1,0,0,0.17600000000000002,True
0,0,1,0,0.15600000000000003,False
1,0,1,0,0.15600000000000003,False
0,1,1,0,0.044000000000000004,False
1,1,1,0,0.044000000000000004,False
0,0,0,1,0.6240000000000001,False
1,0,0,1,0.6240000000000001,False
0,1,0,1,0.17600000000000002,False
1,1,0,1,0.17600000000000002,False
0,0,1,1,0.15600000000000003,False
1,0,1,1,0.15600000000000003,False
0,1,1,1,0.044000000000000004,False
1,1,1,1,0.044000000000000004,False
