S,5,T,prob,Connected,3,7
0,0.0,0,0.55,True,,
1,0.0,0,0.55,True,,
0,1.0,0,0.45,True,,
1,1.0,0,0.45,False,,
0,0.0,1,0.55,True,,
1,0.0,1,0.55,True,,
0,1.0,1,0.45,True,,
1,1.0,1,0.45,False,,
0,,0,0.3774,True,0.0,0.0
1,,0,0.3774,False,0.0,0.0
0,,0,0.3626,True,1.0,0.0
1,,0,0.3626,True,1.0,0.0
0,,0,0.1326,False,0.0,1.0
1,,0,0.1326,False,0.0,1.0
0,,0,0.1274,False,1.0,1.0
1,,0,0.1274,False,1.0,1.0
0,,1,0.3774,False,0.0,0.0
1,,1,0.3774,False,0.0,0.0
0,,1,0.3626,False,1.0,0.0
1,,1,0.3626,False,1.0,0.0
0,,1,0.1326,True,0.0,1.0
1,,1,0.1326,False,0.0,1.0
0,,1,0.1274,True,1.0,1.0
1,,1,0.1274,True,1.0,1.0
