S,64,T,prob,Connected,56,8,60,68,57,62,48,53,42,50,38,40,26,37,25,35,22,30,12,31,10,27,44,47,51,49,58,59,61
0,0.0,0,0.39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.39,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0,0.39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0,0.61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.39,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1,0.39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1,0.61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,2,0.39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,2,0.39,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,2,0.39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,2,0.61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,2,0.61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,2,0.61,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.35,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.35,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.35,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.35,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.35,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.35,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.65,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.65,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.65,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.35,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.35,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,0.35,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,2,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,0.65,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
