S,3,T,prob,Connected,5,7
0,0.0,0,0.79,False,,
1,0.0,0,0.79,False,,
0,1.0,0,0.21,False,,
1,1.0,0,0.21,True,,
0,0.0,1,0.79,False,,
1,0.0,1,0.79,True,,
0,1.0,1,0.21,False,,
1,1.0,1,0.21,True,,
0,,0,0.4752,False,0.0,0.0
1,,0,0.4752,False,0.0,0.0
0,,0,0.18480000000000002,False,1.0,0.0
1,,0,0.18480000000000002,False,1.0,0.0
0,,0,0.24480000000000002,True,0.0,1.0
1,,0,0.24480000000000002,True,0.0,1.0
0,,0,0.09520000000000002,False,1.0,1.0
1,,0,0.09520000000000002,False,1.0,1.0
0,,1,0.4752,True,0.0,0.0
1,,1,0.4752,True,0.0,0.0
0,,1,0.18480000000000002,False,1.0,0.0
1,,1,0.18480000000000002,False,1.0,0.0
0,,1,0.24480000000000002,True,0.0,1.0
1,,1,0.24480000000000002,True,0.0,1.0
0,,1,0.09520000000000002,False,1.0,1.0
1,,1,0.09520000000000002,False,1.0,1.0
