S,57,T,prob,Connected,43,40,35,31,23,48,52,47,56,46,51,38,39,34,37,33,36,26,29,19,21,18,20,11,15,4,5
0,,1,0.44,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.44,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.56,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.56,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.56,False,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.32,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.32,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.32,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.68,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.68,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.68,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.32,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.32,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.32,False,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.68,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.68,False,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.68,True,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.217,True,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.217,False,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.217,True,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.403,False,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.403,False,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
2,,0,0.403,False,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.13299999999999998,False,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.13299999999999998,False,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
