S,6,T,prob,Connected,2,1,4,5
0,0.0,0,0.56,False,,,,
1,0.0,0,0.56,False,,,,
0,1.0,0,0.44,True,,,,
1,1.0,0,0.44,True,,,,
0,0.0,1,0.56,True,,,,
1,0.0,1,0.56,False,,,,
0,1.0,1,0.44,True,,,,
1,1.0,1,0.44,True,,,,
0,0.0,2,0.56,True,,,,
1,0.0,2,0.56,False,,,,
0,1.0,2,0.44,True,,,,
1,1.0,2,0.44,True,,,,
0,,0,0.55,False,0.0,,,
1,,0,0.55,True,0.0,,,
0,,0,0.45,True,1.0,,,
1,,0,0.45,True,1.0,,,
0,,1,0.55,False,0.0,,,
1,,1,0.55,True,0.0,,,
0,,1,0.45,True,1.0,,,
1,,1,0.45,True,1.0,,,
0,,2,0.55,False,0.0,,,
1,,2,0.55,True,0.0,,,
0,,2,0.45,True,1.0,,,
1,,2,0.45,True,1.0,,,
0,,0,0.6,True,,0.0,,
1,,0,0.6,True,,0.0,,
0,,0,0.4,False,,1.0,,
1,,0,0.4,False,,1.0,,
0,,1,0.6,False,,0.0,,
1,,1,0.6,False,,0.0,,
0,,1,0.4,False,,1.0,,
1,,1,0.4,False,,1.0,,
0,,2,0.6,False,,0.0,,
1,,2,0.6,False,,0.0,,
0,,2,0.4,False,,1.0,,
1,,2,0.4,False,,1.0,,
0,,0,0.16720000000000002,True,,,0.0,0.0
1,,0,0.16720000000000002,True,,,0.0,0.0
0,,0,0.1368,True,,,1.0,0.0
1,,0,0.1368,True,,,1.0,0.0
0,,0,0.07600000000000001,False,,,2.0,0.0
1,,0,0.07600000000000001,False,,,2.0,0.0
0,,0,0.1188,False,,,0.0,1.0
1,,0,0.1188,False,,,0.0,1.0
0,,0,0.09720000000000001,False,,,1.0,1.0
1,,0,0.09720000000000001,False,,,1.0,1.0
0,,0,0.054000000000000006,False,,,2.0,1.0
1,,0,0.054000000000000006,False,,,2.0,1.0
0,,0,0.154,True,,,0.0,2.0
1,,0,0.154,True,,,0.0,2.0
0,,0,0.126,True,,,1.0,2.0
1,,0,0.126,True,,,1.0,2.0
0,,0,0.06999999999999999,False,,,2.0,2.0
1,,0,0.06999999999999999,False,,,2.0,2.0
0,,1,0.16720000000000002,True,,,0.0,0.0
1,,1,0.16720000000000002,True,,,0.0,0.0
0,,1,0.1368,True,,,1.0,0.0
1,,1,0.1368,True,,,1.0,0.0
0,,1,0.07600000000000001,False,,,2.0,0.0
1,,1,0.07600000000000001,False,,,2.0,0.0
0,,1,0.1188,False,,,0.0,1.0
1,,1,0.1188,False,,,0.0,1.0
0,,1,0.09720000000000001,True,,,1.0,1.0
1,,1,0.09720000000000001,True,,,1.0,1.0
0,,1,0.054000000000000006,False,,,2.0,1.0
1,,1,0.054000000000000006,False,,,2.0,1.0
0,,1,0.154,True,,,0.0,2.0
1,,1,0.154,True,,,0.0,2.0
0,,1,0.126,True,,,1.0,2.0
1,,1,0.126,True,,,1.0,2.0
0,,1,0.06999999999999999,False,,,2.0,2.0
1,,1,0.06999999999999999,False,,,2.0,2.0
0,,2,0.16720000000000002,True,,,0.0,0.0
1,,2,0.16720000000000002,True,,,0.0,0.0
0,,2,0.1368,True,,,1.0,0.0
1,,2,0.1368,True,,,1.0,0.0
0,,2,0.07600000000000001,False,,,2.0,0.0
1,,2,0.07600000000000001,False,,,2.0,0.0
0,,2,0.1188,False,,,0.0,1.0
1,,2,0.1188,False,,,0.0,1.0
0,,2,0.09720000000000001,True,,,1.0,1.0
1,,2,0.09720000000000001,True,,,1.0,1.0
0,,2,0.054000000000000006,False,,,2.0,1.0
1,,2,0.054000000000000006,False,,,2.0,1.0
0,,2,0.154,True,,,0.0,2.0
1,,2,0.154,True,,,0.0,2.0
0,,2,0.126,True,,,1.0,2.0
1,,2,0.126,True,,,1.0,2.0
0,,2,0.06999999999999999,False,,,2.0,2.0
1,,2,0.06999999999999999,False,,,2.0,2.0
