S,48,T,prob,Connected,46,44,43,36,33,22,19,18,13,3,40,41,37,38,30,31,27,29,20,28,14,25,8,24,2,16,1,17
1,,0,0.51,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.21,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.21,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.28,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.28,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.51,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.51,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.21,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.21,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
0,,1,0.28,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1,,1,0.28,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
0,,0,0.57,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.57,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.43,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1,,0,0.43,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.57,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.57,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
0,,1,0.43,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1,,1,0.43,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
0,,0,0.2,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1,,0,0.2,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
0,,0,0.8,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1,,0,0.8,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,,1,0.2,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1,,1,0.2,False,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
0,,1,0.8,False,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1,,1,0.8,True,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0,,0,0.47,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.47,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.43,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.43,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.1,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.1,False,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.47,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.47,False,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.43,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.43,False,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.1,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
1,,1,0.1,True,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.21089999999999998,True,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.21089999999999998,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.1591,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,0,0.1591,True,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,0,0.3591,True,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.3591,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.2709,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,0,0.2709,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.21089999999999998,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.21089999999999998,False,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.1591,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
1,,1,0.1591,False,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,
0,,1,0.3591,True,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.3591,False,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
0,,1,0.2709,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
1,,1,0.2709,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
0,,0,0.2376,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,0,0.2376,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,0,0.21600000000000003,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,0,0.21600000000000003,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,0,0.0864,False,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,
1,,0,0.0864,False,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,
0,,0,0.2024,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,0,0.2024,True,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,0,0.18400000000000002,False,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,0,0.18400000000000002,True,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,0,0.0736,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
1,,0,0.0736,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
0,,1,0.2376,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1,,1,0.2376,False,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
0,,1,0.21600000000000003,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1,,1,0.21600000000000003,False,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
0,,1,0.0864,False,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,
1,,1,0.0864,False,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,
0,,1,0.2024,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
1,,1,0.2024,False,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,
0,,1,0.18400000000000002,False,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1,,1,0.18400000000000002,False,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
0,,1,0.0736,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
1,,1,0.0736,False,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
0,,0,0.17920000000000003,False,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,0,0.17920000000000003,False,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,0,0.1008,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,0,0.1008,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,0,0.4608,True,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,0,0.4608,True,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,0,0.2592,True,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,0,0.2592,False,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,1,0.17920000000000003,False,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1,,1,0.17920000000000003,False,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
0,,1,0.1008,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
1,,1,0.1008,False,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,
0,,1,0.4608,True,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
1,,1,0.4608,True,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
0,,1,0.2592,True,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1,,1,0.2592,False,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
0,,0,0.26039999999999996,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1,,0,0.26039999999999996,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,0,0.3224,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,0,0.3224,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,0,0.0372,False,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,
1,,0,0.0372,False,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,
0,,0,0.084,True,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,0,0.084,True,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,0,0.10400000000000001,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,0,0.10400000000000001,True,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,0,0.012,False,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
1,,0,0.012,False,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
0,,0,0.0756,True,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,
1,,0,0.0756,True,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,
0,,0,0.0936,False,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
1,,0,0.0936,False,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
0,,0,0.010799999999999999,False,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
1,,0,0.010799999999999999,False,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
0,,1,0.26039999999999996,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1,,1,0.26039999999999996,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
0,,1,0.3224,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
1,,1,0.3224,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
0,,1,0.0372,False,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,
1,,1,0.0372,False,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,
0,,1,0.084,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
1,,1,0.084,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
0,,1,0.10400000000000001,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
1,,1,0.10400000000000001,False,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
0,,1,0.012,False,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
1,,1,0.012,False,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,
0,,1,0.0756,True,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,
1,,1,0.0756,True,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,
0,,1,0.0936,False,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
1,,1,0.0936,False,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
0,,1,0.010799999999999999,False,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
1,,1,0.010799999999999999,False,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,
0,,0,0.3819,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,0,0.3819,True,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,0,0.2881,True,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,0,0.2881,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
0,,0,0.1881,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,0,0.1881,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,0,0.1419,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.1419,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,1,0.3819,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
1,,1,0.3819,False,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
0,,1,0.2881,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
1,,1,0.2881,False,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,
0,,1,0.1881,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
1,,1,0.1881,False,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.1419,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.1419,False,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.39,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.39,True,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.26,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.26,True,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.21,True,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.21,True,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.13999999999999999,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.13999999999999999,True,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.39,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.39,False,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
0,,1,0.26,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,
1,,1,0.26,False,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.21,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.21,False,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.13999999999999999,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.13999999999999999,False,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.17629999999999998,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.17629999999999998,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.0861,False,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.0861,False,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.14759999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,
1,,0,0.14759999999999998,False,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,
0,,0,0.1978,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.1978,False,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.0966,False,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.0966,True,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
0,,0,0.1656,False,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,
1,,0,0.1656,False,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,
0,,0,0.0559,True,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
1,,0,0.0559,True,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
0,,0,0.0273,False,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
1,,0,0.0273,False,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
0,,0,0.0468,False,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
1,,0,0.0468,False,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
0,,1,0.17629999999999998,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.17629999999999998,False,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
