S,5,T,prob,Connected,1,2,3
0,0.0,0,0.1,False,,,
1,0.0,0,0.1,False,,,
2,0.0,0,0.1,False,,,
3,0.0,0,0.1,False,,,
4,0.0,0,0.1,False,,,
0,1.0,0,0.16,False,,,
1,1.0,0,0.16,False,,,
2,1.0,0,0.16,False,,,
3,1.0,0,0.16,False,,,
4,1.0,0,0.16,True,,,
0,2.0,0,0.16,False,,,
1,2.0,0,0.16,False,,,
2,2.0,0,0.16,False,,,
3,2.0,0,0.16,False,,,
4,2.0,0,0.16,False,,,
0,3.0,0,0.11,False,,,
1,3.0,0,0.11,True,,,
2,3.0,0,0.11,True,,,
3,3.0,0,0.11,True,,,
4,3.0,0,0.11,True,,,
0,4.0,0,0.47,True,,,
1,4.0,0,0.47,True,,,
2,4.0,0,0.47,True,,,
3,4.0,0,0.47,True,,,
4,4.0,0,0.47,False,,,
0,0.0,1,0.1,True,,,
1,0.0,1,0.1,True,,,
2,0.0,1,0.1,False,,,
3,0.0,1,0.1,True,,,
4,0.0,1,0.1,False,,,
0,1.0,1,0.16,False,,,
1,1.0,1,0.16,False,,,
2,1.0,1,0.16,False,,,
3,1.0,1,0.16,False,,,
4,1.0,1,0.16,True,,,
0,2.0,1,0.16,False,,,
1,2.0,1,0.16,False,,,
2,2.0,1,0.16,True,,,
3,2.0,1,0.16,False,,,
4,2.0,1,0.16,True,,,
0,3.0,1,0.11,False,,,
1,3.0,1,0.11,True,,,
2,3.0,1,0.11,True,,,
3,3.0,1,0.11,True,,,
4,3.0,1,0.11,True,,,
0,4.0,1,0.47,True,,,
1,4.0,1,0.47,True,,,
2,4.0,1,0.47,True,,,
3,4.0,1,0.47,True,,,
4,4.0,1,0.47,False,,,
0,0.0,2,0.1,False,,,
1,0.0,2,0.1,False,,,
2,0.0,2,0.1,False,,,
3,0.0,2,0.1,False,,,
4,0.0,2,0.1,False,,,
0,1.0,2,0.16,False,,,
1,1.0,2,0.16,False,,,
2,1.0,2,0.16,False,,,
3,1.0,2,0.16,False,,,
4,1.0,2,0.16,True,,,
0,2.0,2,0.16,False,,,
1,2.0,2,0.16,False,,,
2,2.0,2,0.16,True,,,
3,2.0,2,0.16,False,,,
4,2.0,2,0.16,True,,,
0,3.0,2,0.11,False,,,
1,3.0,2,0.11,True,,,
2,3.0,2,0.11,True,,,
3,3.0,2,0.11,True,,,
4,3.0,2,0.11,True,,,
0,4.0,2,0.47,False,,,
1,4.0,2,0.47,False,,,
2,4.0,2,0.47,False,,,
3,4.0,2,0.47,False,,,
4,4.0,2,0.47,False,,,
0,,0,0.16,True,0.0,,
1,,0,0.16,False,0.0,,
2,,0,0.16,False,0.0,,
3,,0,0.16,True,0.0,,
4,,0,0.16,True,0.0,,
0,,0,0.19,False,1.0,,
1,,0,0.19,False,1.0,,
2,,0,0.19,False,1.0,,
3,,0,0.19,False,1.0,,
4,,0,0.19,False,1.0,,
0,,0,0.15,False,2.0,,
1,,0,0.15,False,2.0,,
2,,0,0.15,False,2.0,,
3,,0,0.15,False,2.0,,
4,,0,0.15,False,2.0,,
0,,0,0.13,True,3.0,,
1,,0,0.13,False,3.0,,
2,,0,0.13,True,3.0,,
3,,0,0.13,True,3.0,,
4,,0,0.13,True,3.0,,
0,,0,0.37,True,4.0,,
1,,0,0.37,False,4.0,,
2,,0,0.37,True,4.0,,
3,,0,0.37,True,4.0,,
4,,0,0.37,True,4.0,,
0,,1,0.16,True,0.0,,
1,,1,0.16,False,0.0,,
2,,1,0.16,False,0.0,,
3,,1,0.16,True,0.0,,
4,,1,0.16,True,0.0,,
0,,1,0.19,False,1.0,,
1,,1,0.19,False,1.0,,
2,,1,0.19,False,1.0,,
3,,1,0.19,False,1.0,,
4,,1,0.19,False,1.0,,
0,,1,0.15,False,2.0,,
1,,1,0.15,False,2.0,,
2,,1,0.15,False,2.0,,
3,,1,0.15,False,2.0,,
4,,1,0.15,False,2.0,,
0,,1,0.13,True,3.0,,
1,,1,0.13,False,3.0,,
2,,1,0.13,True,3.0,,
3,,1,0.13,True,3.0,,
4,,1,0.13,True,3.0,,
0,,1,0.37,False,4.0,,
1,,1,0.37,False,4.0,,
2,,1,0.37,False,4.0,,
3,,1,0.37,False,4.0,,
4,,1,0.37,False,4.0,,
0,,2,0.16,True,0.0,,
1,,2,0.16,False,0.0,,
2,,2,0.16,False,0.0,,
3,,2,0.16,True,0.0,,
4,,2,0.16,True,0.0,,
0,,2,0.19,True,1.0,,
1,,2,0.19,True,1.0,,
2,,2,0.19,False,1.0,,
3,,2,0.19,False,1.0,,
4,,2,0.19,True,1.0,,
0,,2,0.15,True,2.0,,
1,,2,0.15,True,2.0,,
2,,2,0.15,False,2.0,,
3,,2,0.15,True,2.0,,
4,,2,0.15,False,2.0,,
0,,2,0.13,True,3.0,,
1,,2,0.13,False,3.0,,
2,,2,0.13,True,3.0,,
3,,2,0.13,True,3.0,,
4,,2,0.13,True,3.0,,
0,,2,0.37,True,4.0,,
1,,2,0.37,False,4.0,,
2,,2,0.37,True,4.0,,
