S,32,T,prob,Connected,19,16,14,9,7,2,27,28,22,26,21,24,10,20,4,17
0,0.0,0,0.64,False,,,,,,,,,,,,,,,,
1,0.0,0,0.64,False,,,,,,,,,,,,,,,,
0,1.0,0,0.36,True,,,,,,,,,,,,,,,,
1,1.0,0,0.36,True,,,,,,,,,,,,,,,,
0,0.0,1,0.64,True,,,,,,,,,,,,,,,,
1,0.0,1,0.64,True,,,,,,,,,,,,,,,,
0,1.0,1,0.36,True,,,,,,,,,,,,,,,,
1,1.0,1,0.36,True,,,,,,,,,,,,,,,,
0,,0,0.7,False,0.0,,,,,,,,,,,,,,,
1,,0,0.7,True,0.0,,,,,,,,,,,,,,,
0,,0,0.3,False,1.0,,,,,,,,,,,,,,,
1,,0,0.3,True,1.0,,,,,,,,,,,,,,,
0,,1,0.7,False,0.0,,,,,,,,,,,,,,,
1,,1,0.7,False,0.0,,,,,,,,,,,,,,,
0,,1,0.3,False,1.0,,,,,,,,,,,,,,,
1,,1,0.3,True,1.0,,,,,,,,,,,,,,,
0,,0,0.5,False,,0.0,,,,,,,,,,,,,,
1,,0,0.5,False,,0.0,,,,,,,,,,,,,,
0,,0,0.5,True,,1.0,,,,,,,,,,,,,,
1,,0,0.5,True,,1.0,,,,,,,,,,,,,,
0,,1,0.5,False,,0.0,,,,,,,,,,,,,,
1,,1,0.5,False,,0.0,,,,,,,,,,,,,,
0,,1,0.5,True,,1.0,,,,,,,,,,,,,,
1,,1,0.5,True,,1.0,,,,,,,,,,,,,,
0,,0,0.76,True,,,0.0,,,,,,,,,,,,,
1,,0,0.76,False,,,0.0,,,,,,,,,,,,,
0,,0,0.24,False,,,1.0,,,,,,,,,,,,,
1,,0,0.24,False,,,1.0,,,,,,,,,,,,,
0,,1,0.76,True,,,0.0,,,,,,,,,,,,,
1,,1,0.76,False,,,0.0,,,,,,,,,,,,,
0,,1,0.24,True,,,1.0,,,,,,,,,,,,,
1,,1,0.24,True,,,1.0,,,,,,,,,,,,,
0,,0,0.74,False,,,,0.0,,,,,,,,,,,,
1,,0,0.74,True,,,,0.0,,,,,,,,,,,,
0,,0,0.26,False,,,,1.0,,,,,,,,,,,,
1,,0,0.26,False,,,,1.0,,,,,,,,,,,,
0,,1,0.74,False,,,,0.0,,,,,,,,,,,,
1,,1,0.74,False,,,,0.0,,,,,,,,,,,,
0,,1,0.26,False,,,,1.0,,,,,,,,,,,,
1,,1,0.26,False,,,,1.0,,,,,,,,,,,,
0,,0,0.69,False,,,,,0.0,,,,,,,,,,,
1,,0,0.69,False,,,,,0.0,,,,,,,,,,,
0,,0,0.31,False,,,,,1.0,,,,,,,,,,,
1,,0,0.31,True,,,,,1.0,,,,,,,,,,,
0,,1,0.69,False,,,,,0.0,,,,,,,,,,,
1,,1,0.69,False,,,,,0.0,,,,,,,,,,,
0,,1,0.31,False,,,,,1.0,,,,,,,,,,,
1,,1,0.31,False,,,,,1.0,,,,,,,,,,,
0,,0,0.5,True,,,,,,0.0,,,,,,,,,,
1,,0,0.5,True,,,,,,0.0,,,,,,,,,,
0,,0,0.5,True,,,,,,1.0,,,,,,,,,,
1,,0,0.5,False,,,,,,1.0,,,,,,,,,,
0,,1,0.5,True,,,,,,0.0,,,,,,,,,,
1,,1,0.5,True,,,,,,0.0,,,,,,,,,,
0,,1,0.5,True,,,,,,1.0,,,,,,,,,,
1,,1,0.5,False,,,,,,1.0,,,,,,,,,,
0,,0,0.36479999999999996,False,,,,,,,0.0,0.0,,,,,,,,
1,,0,0.36479999999999996,False,,,,,,,0.0,0.0,,,,,,,,
0,,0,0.2752,False,,,,,,,1.0,0.0,,,,,,,,
1,,0,0.2752,False,,,,,,,1.0,0.0,,,,,,,,
0,,0,0.20519999999999997,False,,,,,,,0.0,1.0,,,,,,,,
1,,0,0.20519999999999997,True,,,,,,,0.0,1.0,,,,,,,,
0,,0,0.1548,False,,,,,,,1.0,1.0,,,,,,,,
1,,0,0.1548,False,,,,,,,1.0,1.0,,,,,,,,
0,,1,0.36479999999999996,False,,,,,,,0.0,0.0,,,,,,,,
1,,1,0.36479999999999996,True,,,,,,,0.0,0.0,,,,,,,,
0,,1,0.2752,False,,,,,,,1.0,0.0,,,,,,,,
1,,1,0.2752,True,,,,,,,1.0,0.0,,,,,,,,
0,,1,0.20519999999999997,False,,,,,,,0.0,1.0,,,,,,,,
1,,1,0.20519999999999997,True,,,,,,,0.0,1.0,,,,,,,,
0,,1,0.1548,False,,,,,,,1.0,1.0,,,,,,,,
1,,1,0.1548,False,,,,,,,1.0,1.0,,,,,,,,
0,,0,0.315,True,,,,,,,,,0.0,0.0,,,,,,
1,,0,0.315,True,,,,,,,,,0.0,0.0,,,,,,
0,,0,0.185,True,,,,,,,,,1.0,0.0,,,,,,
1,,0,0.185,True,,,,,,,,,1.0,0.0,,,,,,
0,,0,0.315,False,,,,,,,,,0.0,1.0,,,,,,
1,,0,0.315,False,,,,,,,,,0.0,1.0,,,,,,
0,,0,0.185,False,,,,,,,,,1.0,1.0,,,,,,
1,,0,0.185,False,,,,,,,,,1.0,1.0,,,,,,
0,,1,0.315,True,,,,,,,,,0.0,0.0,,,,,,
1,,1,0.315,True,,,,,,,,,0.0,0.0,,,,,,
0,,1,0.185,True,,,,,,,,,1.0,0.0,,,,,,
1,,1,0.185,True,,,,,,,,,1.0,0.0,,,,,,
0,,1,0.315,False,,,,,,,,,0.0,1.0,,,,,,
1,,1,0.315,False,,,,,,,,,0.0,1.0,,,,,,
0,,1,0.185,False,,,,,,,,,1.0,1.0,,,,,,
1,,1,0.185,False,,,,,,,,,1.0,1.0,,,,,,
0,,0,0.3456,False,,,,,,,,,,,0.0,0.0,,,,
1,,0,0.3456,False,,,,,,,,,,,0.0,0.0,,,,
0,,0,0.19440000000000002,False,,,,,,,,,,,1.0,0.0,,,,
1,,0,0.19440000000000002,False,,,,,,,,,,,1.0,0.0,,,,
0,,0,0.2944,False,,,,,,,,,,,0.0,1.0,,,,
1,,0,0.2944,False,,,,,,,,,,,0.0,1.0,,,,
0,,0,0.1656,False,,,,,,,,,,,1.0,1.0,,,,
1,,0,0.1656,False,,,,,,,,,,,1.0,1.0,,,,
0,,1,0.3456,False,,,,,,,,,,,0.0,0.0,,,,
1,,1,0.3456,False,,,,,,,,,,,0.0,0.0,,,,
0,,1,0.19440000000000002,False,,,,,,,,,,,1.0,0.0,,,,
1,,1,0.19440000000000002,False,,,,,,,,,,,1.0,0.0,,,,
0,,1,0.2944,False,,,,,,,,,,,0.0,1.0,,,,
1,,1,0.2944,False,,,,,,,,,,,0.0,1.0,,,,
0,,1,0.1656,False,,,,,,,,,,,1.0,1.0,,,,
1,,1,0.1656,False,,,,,,,,,,,1.0,1.0,,,,
0,,0,0.426,False,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.426,True,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.174,False,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.174,False,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.284,False,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.284,True,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.11599999999999999,False,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.11599999999999999,True,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.426,False,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.426,False,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.174,False,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.174,False,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.284,False,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.284,True,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.11599999999999999,False,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.11599999999999999,True,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.5319999999999999,False,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.5319999999999999,False,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.16799999999999998,False,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.16799999999999998,True,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.22799999999999998,False,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.22799999999999998,False,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.072,False,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.072,False,,,,,,,,,,,,,,,1.0,1.0
0,,1,0.5319999999999999,False,,,,,,,,,,,,,,,0.0,0.0
