S,3,5,T,prob,Connected
0,0,0,0,0.3416,False
1,0,0,0,0.3416,False
0,1,0,0,0.26839999999999997,False
1,1,0,0,0.26839999999999997,False
0,0,1,0,0.2016,False
1,0,1,0,0.2016,False
0,1,1,0,0.15839999999999999,False
1,1,1,0,0.15839999999999999,False
0,0,2,0,0.016800000000000002,False
1,0,2,0,0.016800000000000002,False
0,1,2,0,0.0132,False
1,1,2,0,0.0132,False
0,0,0,1,0.3416,False
1,0,0,1,0.3416,False
0,1,0,1,0.26839999999999997,False
1,1,0,1,0.26839999999999997,False
0,0,1,1,0.2016,False
1,0,1,1,0.2016,False
0,1,1,1,0.15839999999999999,False
1,1,1,1,0.15839999999999999,False
0,0,2,1,0.016800000000000002,False
1,0,2,1,0.016800000000000002,False
0,1,2,1,0.0132,False
1,1,2,1,0.0132,False
0,0,0,2,0.3416,False
1,0,0,2,0.3416,False
0,1,0,2,0.26839999999999997,False
1,1,0,2,0.26839999999999997,False
0,0,1,2,0.2016,False
1,0,1,2,0.2016,False
0,1,1,2,0.15839999999999999,False
1,1,1,2,0.15839999999999999,False
0,0,2,2,0.016800000000000002,False
1,0,2,2,0.016800000000000002,False
0,1,2,2,0.0132,False
1,1,2,2,0.0132,False
