S,77,T,prob,Connected,69,65,57,55,49,48,34,29,26,22,19,67,76,61,71,50,52,47,51,39,43,37,41,33,40,31,38,30,35,20,28,18,27,9,17,8,15,1,13
0,0.0,0,0.68,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.68,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0,0.68,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.26,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,0,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0,0.06,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,0,0.06,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,0,0.06,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.68,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.68,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,1,0.68,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.0,1,0.26,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,1,0.06,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,1,0.06,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0,1,0.06,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.36,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.36,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.36,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.64,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.64,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.64,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.36,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.36,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.36,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.64,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.64,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.64,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.45,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.45,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.45,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.55,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.55,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.55,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.45,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.45,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.45,True,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.55,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.55,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1,0.55,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.39,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.39,False,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.39,True,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.25,True,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.25,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0,0.25,False,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.36,True,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
