S,36,T,prob,Connected,33,22,59,63,58,60,54,57,45,52,24,50,20,49,8,43,18,41,48
0,0.0,0,0.69,True,,,,,,,,,,,,,,,,,,,
1,0.0,0,0.69,True,,,,,,,,,,,,,,,,,,,
2,0.0,0,0.69,True,,,,,,,,,,,,,,,,,,,
0,1.0,0,0.31,False,,,,,,,,,,,,,,,,,,,
1,1.0,0,0.31,True,,,,,,,,,,,,,,,,,,,
2,1.0,0,0.31,True,,,,,,,,,,,,,,,,,,,
0,0.0,1,0.69,True,,,,,,,,,,,,,,,,,,,
1,0.0,1,0.69,True,,,,,,,,,,,,,,,,,,,
2,0.0,1,0.69,True,,,,,,,,,,,,,,,,,,,
0,1.0,1,0.31,False,,,,,,,,,,,,,,,,,,,
1,1.0,1,0.31,True,,,,,,,,,,,,,,,,,,,
2,1.0,1,0.31,True,,,,,,,,,,,,,,,,,,,
0,,0,0.26,False,0.0,,,,,,,,,,,,,,,,,,
1,,0,0.26,False,0.0,,,,,,,,,,,,,,,,,,
2,,0,0.26,False,0.0,,,,,,,,,,,,,,,,,,
0,,0,0.46,True,1.0,,,,,,,,,,,,,,,,,,
1,,0,0.46,False,1.0,,,,,,,,,,,,,,,,,,
2,,0,0.46,True,1.0,,,,,,,,,,,,,,,,,,
0,,0,0.28,False,2.0,,,,,,,,,,,,,,,,,,
1,,0,0.28,True,2.0,,,,,,,,,,,,,,,,,,
2,,0,0.28,False,2.0,,,,,,,,,,,,,,,,,,
0,,1,0.26,False,0.0,,,,,,,,,,,,,,,,,,
1,,1,0.26,False,0.0,,,,,,,,,,,,,,,,,,
2,,1,0.26,False,0.0,,,,,,,,,,,,,,,,,,
0,,1,0.46,False,1.0,,,,,,,,,,,,,,,,,,
1,,1,0.46,False,1.0,,,,,,,,,,,,,,,,,,
2,,1,0.46,False,1.0,,,,,,,,,,,,,,,,,,
0,,1,0.28,False,2.0,,,,,,,,,,,,,,,,,,
1,,1,0.28,True,2.0,,,,,,,,,,,,,,,,,,
2,,1,0.28,False,2.0,,,,,,,,,,,,,,,,,,
0,,0,0.37,True,,0.0,,,,,,,,,,,,,,,,,
1,,0,0.37,True,,0.0,,,,,,,,,,,,,,,,,
2,,0,0.37,False,,0.0,,,,,,,,,,,,,,,,,
0,,0,0.63,False,,1.0,,,,,,,,,,,,,,,,,
1,,0,0.63,True,,1.0,,,,,,,,,,,,,,,,,
2,,0,0.63,True,,1.0,,,,,,,,,,,,,,,,,
0,,1,0.37,True,,0.0,,,,,,,,,,,,,,,,,
1,,1,0.37,True,,0.0,,,,,,,,,,,,,,,,,
2,,1,0.37,False,,0.0,,,,,,,,,,,,,,,,,
0,,1,0.63,False,,1.0,,,,,,,,,,,,,,,,,
1,,1,0.63,True,,1.0,,,,,,,,,,,,,,,,,
2,,1,0.63,True,,1.0,,,,,,,,,,,,,,,,,
0,,0,0.1,False,,,0.0,0.0,,,,,,,,,,,,,,,
1,,0,0.1,False,,,0.0,0.0,,,,,,,,,,,,,,,
2,,0,0.1,False,,,0.0,0.0,,,,,,,,,,,,,,,
0,,0,0.15,False,,,1.0,0.0,,,,,,,,,,,,,,,
1,,0,0.15,False,,,1.0,0.0,,,,,,,,,,,,,,,
2,,0,0.15,False,,,1.0,0.0,,,,,,,,,,,,,,,
0,,0,0.10800000000000001,False,,,0.0,1.0,,,,,,,,,,,,,,,
1,,0,0.10800000000000001,True,,,0.0,1.0,,,,,,,,,,,,,,,
2,,0,0.10800000000000001,True,,,0.0,1.0,,,,,,,,,,,,,,,
0,,0,0.162,False,,,1.0,1.0,,,,,,,,,,,,,,,
1,,0,0.162,True,,,1.0,1.0,,,,,,,,,,,,,,,
2,,0,0.162,False,,,1.0,1.0,,,,,,,,,,,,,,,
0,,0,0.192,False,,,0.0,2.0,,,,,,,,,,,,,,,
1,,0,0.192,False,,,0.0,2.0,,,,,,,,,,,,,,,
2,,0,0.192,False,,,0.0,2.0,,,,,,,,,,,,,,,
