S,7,8,T,prob,Connected
0,0,0,0,0.46799999999999997,True
1,0,0,0,0.46799999999999997,True
0,1,0,0,0.132,False
1,1,0,0,0.132,False
0,0,1,0,0.31200000000000006,False
1,0,1,0,0.31200000000000006,False
0,1,1,0,0.08800000000000001,False
1,1,1,0,0.08800000000000001,False
0,0,0,1,0.46799999999999997,False
1,0,0,1,0.46799999999999997,False
0,1,0,1,0.132,False
1,1,0,1,0.132,False
0,0,1,1,0.31200000000000006,False
1,0,1,1,0.31200000000000006,False
0,1,1,1,0.08800000000000001,False
1,1,1,1,0.08800000000000001,False
