S,6,11,T,prob,Connected,5,9
0,0.0,0.0,0,0.3456,False,,
1,0.0,0.0,0,0.3456,False,,
0,1.0,0.0,0,0.19440000000000002,False,,
1,1.0,0.0,0,0.19440000000000002,False,,
0,0.0,1.0,0,0.2944,False,,
1,0.0,1.0,0,0.2944,False,,
0,1.0,1.0,0,0.1656,False,,
1,1.0,1.0,0,0.1656,False,,
0,0.0,0.0,1,0.3456,False,,
1,0.0,0.0,1,0.3456,False,,
0,1.0,0.0,1,0.19440000000000002,False,,
1,1.0,0.0,1,0.19440000000000002,False,,
0,0.0,1.0,1,0.2944,False,,
1,0.0,1.0,1,0.2944,False,,
0,1.0,1.0,1,0.1656,False,,
1,1.0,1.0,1,0.1656,False,,
0,,,0,0.38480000000000003,True,0.0,0.0
1,,,0,0.38480000000000003,True,0.0,0.0
0,,,0,0.35519999999999996,False,1.0,0.0
1,,,0,0.35519999999999996,False,1.0,0.0
0,,,0,0.13520000000000001,False,0.0,1.0
1,,,0,0.13520000000000001,False,0.0,1.0
0,,,0,0.1248,False,1.0,1.0
1,,,0,0.1248,False,1.0,1.0
0,,,1,0.38480000000000003,False,0.0,0.0
1,,,1,0.38480000000000003,False,0.0,0.0
0,,,1,0.35519999999999996,False,1.0,0.0
1,,,1,0.35519999999999996,False,1.0,0.0
0,,,1,0.13520000000000001,True,0.0,1.0
1,,,1,0.13520000000000001,True,0.0,1.0
0,,,1,0.1248,False,1.0,1.0
1,,,1,0.1248,False,1.0,1.0
