S,30,T,prob,Connected,29,26,25,24,15,12,11,10,8,7,6,5,4,18,22,14,20
0,,0,0.67,False,,,,,,,,,,,0.0,,,,,,
1,,0,0.67,False,,,,,,,,,,,0.0,,,,,,
0,,0,0.33,False,,,,,,,,,,,1.0,,,,,,
1,,0,0.33,False,,,,,,,,,,,1.0,,,,,,
0,,1,0.67,True,,,,,,,,,,,0.0,,,,,,
1,,1,0.67,True,,,,,,,,,,,0.0,,,,,,
0,,1,0.33,False,,,,,,,,,,,1.0,,,,,,
1,,1,0.33,False,,,,,,,,,,,1.0,,,,,,
0,,0,0.62,True,,,,,,,,,,,,0.0,,,,,
1,,0,0.62,True,,,,,,,,,,,,0.0,,,,,
0,,0,0.38,True,,,,,,,,,,,,1.0,,,,,
1,,0,0.38,True,,,,,,,,,,,,1.0,,,,,
0,,1,0.62,False,,,,,,,,,,,,0.0,,,,,
1,,1,0.62,False,,,,,,,,,,,,0.0,,,,,
0,,1,0.38,False,,,,,,,,,,,,1.0,,,,,
1,,1,0.38,False,,,,,,,,,,,,1.0,,,,,
0,,0,0.79,False,,,,,,,,,,,,,0.0,,,,
1,,0,0.79,False,,,,,,,,,,,,,0.0,,,,
0,,0,0.21,False,,,,,,,,,,,,,1.0,,,,
1,,0,0.21,False,,,,,,,,,,,,,1.0,,,,
0,,1,0.79,False,,,,,,,,,,,,,0.0,,,,
1,,1,0.79,False,,,,,,,,,,,,,0.0,,,,
0,,1,0.21,False,,,,,,,,,,,,,1.0,,,,
1,,1,0.21,True,,,,,,,,,,,,,1.0,,,,
0,,0,0.6240000000000001,False,,,,,,,,,,,,,,0.0,0.0,,
1,,0,0.6240000000000001,True,,,,,,,,,,,,,,0.0,0.0,,
0,,0,0.17600000000000002,True,,,,,,,,,,,,,,1.0,0.0,,
1,,0,0.17600000000000002,False,,,,,,,,,,,,,,1.0,0.0,,
0,,0,0.15600000000000003,False,,,,,,,,,,,,,,0.0,1.0,,
1,,0,0.15600000000000003,True,,,,,,,,,,,,,,0.0,1.0,,
0,,0,0.044000000000000004,True,,,,,,,,,,,,,,1.0,1.0,,
1,,0,0.044000000000000004,False,,,,,,,,,,,,,,1.0,1.0,,
0,,1,0.6240000000000001,False,,,,,,,,,,,,,,0.0,0.0,,
1,,1,0.6240000000000001,True,,,,,,,,,,,,,,0.0,0.0,,
0,,1,0.17600000000000002,True,,,,,,,,,,,,,,1.0,0.0,,
1,,1,0.17600000000000002,False,,,,,,,,,,,,,,1.0,0.0,,
0,,1,0.15600000000000003,False,,,,,,,,,,,,,,0.0,1.0,,
1,,1,0.15600000000000003,False,,,,,,,,,,,,,,0.0,1.0,,
0,,1,0.044000000000000004,False,,,,,,,,,,,,,,1.0,1.0,,
1,,1,0.044000000000000004,False,,,,,,,,,,,,,,1.0,1.0,,
0,,0,0.4,True,,,,,,,,,,,,,,,,0.0,0.0
1,,0,0.4,True,,,,,,,,,,,,,,,,0.0,0.0
0,,0,0.1,False,,,,,,,,,,,,,,,,1.0,0.0
1,,0,0.1,False,,,,,,,,,,,,,,,,1.0,0.0
0,,0,0.4,True,,,,,,,,,,,,,,,,0.0,1.0
1,,0,0.4,True,,,,,,,,,,,,,,,,0.0,1.0
0,,0,0.1,True,,,,,,,,,,,,,,,,1.0,1.0
1,,0,0.1,True,,,,,,,,,,,,,,,,1.0,1.0
0,,1,0.4,False,,,,,,,,,,,,,,,,0.0,0.0
1,,1,0.4,False,,,,,,,,,,,,,,,,0.0,0.0
0,,1,0.1,False,,,,,,,,,,,,,,,,1.0,0.0
1,,1,0.1,False,,,,,,,,,,,,,,,,1.0,0.0
0,,1,0.4,False,,,,,,,,,,,,,,,,0.0,1.0
1,,1,0.4,False,,,,,,,,,,,,,,,,0.0,1.0
0,,1,0.1,False,,,,,,,,,,,,,,,,1.0,1.0
1,,1,0.1,False,,,,,,,,,,,,,,,,1.0,1.0
