S,8,T,prob,Connected,6,7
0,0.0,0,0.78,True,,
1,0.0,0,0.78,True,,
0,1.0,0,0.22,False,,
1,1.0,0,0.22,False,,
0,0.0,1,0.78,True,,
1,0.0,1,0.78,True,,
0,1.0,1,0.22,True,,
1,1.0,1,0.22,False,,
0,,0,0.48999999999999994,False,0.0,0.0
1,,0,0.48999999999999994,False,0.0,0.0
0,,0,0.21,False,1.0,0.0
1,,0,0.21,False,1.0,0.0
0,,0,0.21,False,0.0,1.0
1,,0,0.21,False,0.0,1.0
0,,0,0.09,False,1.0,1.0
1,,0,0.09,True,1.0,1.0
0,,1,0.48999999999999994,False,0.0,0.0
1,,1,0.48999999999999994,False,0.0,0.0
0,,1,0.21,False,1.0,0.0
1,,1,0.21,False,1.0,0.0
0,,1,0.21,False,0.0,1.0
1,,1,0.21,False,0.0,1.0
0,,1,0.09,False,1.0,1.0
1,,1,0.09,False,1.0,1.0
