S,23,33,T,prob,Connected,5,13,1,12,25,26,34,10,24,28
0,,,1,0.21545999999999998,False,,,,,,,,0.0,0.0,0.0
1,,,1,0.21545999999999998,False,,,,,,,,0.0,0.0,0.0
0,,,1,0.16254000000000002,False,,,,,,,,1.0,0.0,0.0
1,,,1,0.16254000000000002,False,,,,,,,,1.0,0.0,0.0
0,,,1,0.14364,False,,,,,,,,0.0,1.0,0.0
1,,,1,0.14364,False,,,,,,,,0.0,1.0,0.0
0,,,1,0.10836000000000001,False,,,,,,,,1.0,1.0,0.0
1,,,1,0.10836000000000001,False,,,,,,,,1.0,1.0,0.0
0,,,1,0.12653999999999999,False,,,,,,,,0.0,0.0,1.0
1,,,1,0.12653999999999999,False,,,,,,,,0.0,0.0,1.0
0,,,1,0.09546,False,,,,,,,,1.0,0.0,1.0
1,,,1,0.09546,False,,,,,,,,1.0,0.0,1.0
0,,,1,0.08435999999999999,False,,,,,,,,0.0,1.0,1.0
1,,,1,0.08435999999999999,False,,,,,,,,0.0,1.0,1.0
0,,,1,0.06364,True,,,,,,,,1.0,1.0,1.0
1,,,1,0.06364,True,,,,,,,,1.0,1.0,1.0
