S,9,10,T,prob,Connected,5,8,1,2
0,0.0,0.0,0,0.355,False,,,,
1,0.0,0.0,0,0.355,False,,,,
0,1.0,0.0,0,0.145,False,,,,
1,1.0,0.0,0,0.145,False,,,,
0,0.0,1.0,0,0.355,False,,,,
1,0.0,1.0,0,0.355,False,,,,
0,1.0,1.0,0,0.145,False,,,,
1,1.0,1.0,0,0.145,False,,,,
0,0.0,0.0,1,0.355,False,,,,
1,0.0,0.0,1,0.355,False,,,,
0,1.0,0.0,1,0.145,False,,,,
1,1.0,0.0,1,0.145,False,,,,
0,0.0,1.0,1,0.355,False,,,,
1,0.0,1.0,1,0.355,True,,,,
0,1.0,1.0,1,0.145,True,,,,
1,1.0,1.0,1,0.145,False,,,,
0,,,0,0.45239999999999997,False,0.0,0.0,,
1,,,0,0.45239999999999997,False,0.0,0.0,,
0,,,0,0.3276,False,1.0,0.0,,
1,,,0,0.3276,False,1.0,0.0,,
0,,,0,0.1276,False,0.0,1.0,,
1,,,0,0.1276,False,0.0,1.0,,
0,,,0,0.0924,True,1.0,1.0,,
1,,,0,0.0924,False,1.0,1.0,,
0,,,1,0.45239999999999997,False,0.0,0.0,,
1,,,1,0.45239999999999997,False,0.0,0.0,,
0,,,1,0.3276,False,1.0,0.0,,
1,,,1,0.3276,False,1.0,0.0,,
0,,,1,0.1276,False,0.0,1.0,,
1,,,1,0.1276,False,0.0,1.0,,
0,,,1,0.0924,True,1.0,1.0,,
1,,,1,0.0924,False,1.0,1.0,,
0,,,0,0.4032,True,,,0.0,0.0
1,,,0,0.4032,True,,,0.0,0.0
0,,,0,0.15680000000000002,False,,,1.0,0.0
1,,,0,0.15680000000000002,False,,,1.0,0.0
0,,,0,0.31679999999999997,False,,,0.0,1.0
1,,,0,0.31679999999999997,False,,,0.0,1.0
0,,,0,0.12320000000000002,False,,,1.0,1.0
1,,,0,0.12320000000000002,False,,,1.0,1.0
0,,,1,0.4032,True,,,0.0,0.0
1,,,1,0.4032,True,,,0.0,0.0
0,,,1,0.15680000000000002,False,,,1.0,0.0
1,,,1,0.15680000000000002,False,,,1.0,0.0
0,,,1,0.31679999999999997,True,,,0.0,1.0
1,,,1,0.31679999999999997,True,,,0.0,1.0
0,,,1,0.12320000000000002,False,,,1.0,1.0
1,,,1,0.12320000000000002,True,,,1.0,1.0
