S,9,T,prob,Connected,5,10,11,4,8,3,7
0,0.0,0,0.63,True,,,,,,,
1,0.0,0,0.63,True,,,,,,,
0,1.0,0,0.37,False,,,,,,,
1,1.0,0,0.37,False,,,,,,,
0,0.0,1,0.63,False,,,,,,,
1,0.0,1,0.63,False,,,,,,,
0,1.0,1,0.37,True,,,,,,,
1,1.0,1,0.37,True,,,,,,,
0,,0,0.8,True,0.0,,,,,,
1,,0,0.8,True,0.0,,,,,,
0,,0,0.2,True,1.0,,,,,,
1,,0,0.2,False,1.0,,,,,,
0,,1,0.8,True,0.0,,,,,,
1,,1,0.8,True,0.0,,,,,,
0,,1,0.2,False,1.0,,,,,,
1,,1,0.2,False,1.0,,,,,,
0,,0,0.36850000000000005,False,,0.0,0.0,,,,
1,,0,0.36850000000000005,False,,0.0,0.0,,,,
0,,0,0.30150000000000005,False,,1.0,0.0,,,,
1,,0,0.30150000000000005,False,,1.0,0.0,,,,
0,,0,0.18150000000000002,True,,0.0,1.0,,,,
1,,0,0.18150000000000002,True,,0.0,1.0,,,,
0,,0,0.14850000000000002,False,,1.0,1.0,,,,
1,,0,0.14850000000000002,False,,1.0,1.0,,,,
0,,1,0.36850000000000005,False,,0.0,0.0,,,,
1,,1,0.36850000000000005,False,,0.0,0.0,,,,
0,,1,0.30150000000000005,False,,1.0,0.0,,,,
1,,1,0.30150000000000005,False,,1.0,0.0,,,,
0,,1,0.18150000000000002,False,,0.0,1.0,,,,
1,,1,0.18150000000000002,False,,0.0,1.0,,,,
0,,1,0.14850000000000002,False,,1.0,1.0,,,,
1,,1,0.14850000000000002,False,,1.0,1.0,,,,
0,,0,0.5544,False,,,,0.0,0.0,,
1,,0,0.5544,False,,,,0.0,0.0,,
0,,0,0.1656,False,,,,1.0,0.0,,
1,,0,0.1656,False,,,,1.0,0.0,,
0,,0,0.2156,False,,,,0.0,1.0,,
1,,0,0.2156,False,,,,0.0,1.0,,
0,,0,0.06440000000000001,False,,,,1.0,1.0,,
1,,0,0.06440000000000001,False,,,,1.0,1.0,,
0,,1,0.5544,False,,,,0.0,0.0,,
1,,1,0.5544,False,,,,0.0,0.0,,
0,,1,0.1656,False,,,,1.0,0.0,,
1,,1,0.1656,False,,,,1.0,0.0,,
0,,1,0.2156,True,,,,0.0,1.0,,
1,,1,0.2156,True,,,,0.0,1.0,,
0,,1,0.06440000000000001,False,,,,1.0,1.0,,
1,,1,0.06440000000000001,False,,,,1.0,1.0,,
0,,0,0.4928,False,,,,,,0.0,0.0
1,,0,0.4928,False,,,,,,0.0,0.0
0,,0,0.1472,False,,,,,,1.0,0.0
1,,0,0.1472,True,,,,,,1.0,0.0
0,,0,0.2772,False,,,,,,0.0,1.0
1,,0,0.2772,False,,,,,,0.0,1.0
0,,0,0.0828,False,,,,,,1.0,1.0
1,,0,0.0828,False,,,,,,1.0,1.0
0,,1,0.4928,False,,,,,,0.0,0.0
1,,1,0.4928,False,,,,,,0.0,0.0
0,,1,0.1472,False,,,,,,1.0,0.0
1,,1,0.1472,False,,,,,,1.0,0.0
0,,1,0.2772,False,,,,,,0.0,1.0
1,,1,0.2772,False,,,,,,0.0,1.0
0,,1,0.0828,False,,,,,,1.0,1.0
1,,1,0.0828,True,,,,,,1.0,1.0
