S,51,T,prob,Connected,49,47,46,45,37,34,31,27,23,21,20,19,17,16,15,14,4,3,2,43,50,25,33,24,32,5,18,35,39,41
1,,0,0.61,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.36,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.36,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.03,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.03,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.61,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.61,True,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.36,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.36,True,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.03,False,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.03,True,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.54,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.54,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.22,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.22,True,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.24,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.24,True,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.54,True,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.54,False,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.22,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.22,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.24,False,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.24,False,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.27,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.27,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.29,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.29,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.44,True,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,0,0.44,True,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.27,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.27,False,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.29,False,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.29,True,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0,,1,0.44,False,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
1,,1,0.44,False,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
0,,0,0.4,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
1,,0,0.4,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
