S,3,6,T,prob,Connected
0,0,0,0,0.129,False
1,0,0,0,0.129,False
2,0,0,0,0.129,False
0,1,0,0,0.153,False
1,1,0,0,0.153,True
2,1,0,0,0.153,True
0,2,0,0,0.018,False
1,2,0,0,0.018,False
2,2,0,0,0.018,False
0,0,1,0,0.129,False
1,0,1,0,0.129,False
2,0,1,0,0.129,False
0,1,1,0,0.153,False
1,1,1,0,0.153,True
2,1,1,0,0.153,True
0,2,1,0,0.018,False
1,2,1,0,0.018,True
2,2,1,0,0.018,True
0,0,2,0,0.17200000000000001,False
1,0,2,0,0.17200000000000001,False
2,0,2,0,0.17200000000000001,False
0,1,2,0,0.20400000000000001,False
1,1,2,0,0.20400000000000001,True
2,1,2,0,0.20400000000000001,True
0,2,2,0,0.024,False
1,2,2,0,0.024,True
2,2,2,0,0.024,True
0,0,0,1,0.129,False
1,0,0,1,0.129,False
2,0,0,1,0.129,False
0,1,0,1,0.153,False
1,1,0,1,0.153,True
2,1,0,1,0.153,True
0,2,0,1,0.018,False
1,2,0,1,0.018,False
2,2,0,1,0.018,False
0,0,1,1,0.129,False
1,0,1,1,0.129,False
2,0,1,1,0.129,False
0,1,1,1,0.153,False
1,1,1,1,0.153,True
2,1,1,1,0.153,True
0,2,1,1,0.018,False
1,2,1,1,0.018,True
2,2,1,1,0.018,True
0,0,2,1,0.17200000000000001,False
1,0,2,1,0.17200000000000001,False
2,0,2,1,0.17200000000000001,False
0,1,2,1,0.20400000000000001,False
1,1,2,1,0.20400000000000001,True
2,1,2,1,0.20400000000000001,True
0,2,2,1,0.024,False
1,2,2,1,0.024,True
2,2,2,1,0.024,True
0,0,0,2,0.129,False
1,0,0,2,0.129,False
2,0,0,2,0.129,False
0,1,0,2,0.153,False
1,1,0,2,0.153,True
2,1,0,2,0.153,True
0,2,0,2,0.018,False
1,2,0,2,0.018,False
2,2,0,2,0.018,False
0,0,1,2,0.129,False
1,0,1,2,0.129,False
2,0,1,2,0.129,False
0,1,1,2,0.153,False
1,1,1,2,0.153,False
2,1,1,2,0.153,False
0,2,1,2,0.018,False
1,2,1,2,0.018,False
2,2,1,2,0.018,False
0,0,2,2,0.17200000000000001,False
1,0,2,2,0.17200000000000001,False
2,0,2,2,0.17200000000000001,False
0,1,2,2,0.20400000000000001,False
1,1,2,2,0.20400000000000001,True
2,1,2,2,0.20400000000000001,True
0,2,2,2,0.024,False
1,2,2,2,0.024,True
2,2,2,2,0.024,True
