S,9,T,prob,Connected,8,3,1,5,6
0,0.0,0,0.8,False,,,,,
1,0.0,0,0.8,False,,,,,
0,1.0,0,0.2,False,,,,,
1,1.0,0,0.2,False,,,,,
0,0.0,1,0.8,True,,,,,
1,0.0,1,0.8,True,,,,,
0,1.0,1,0.2,True,,,,,
1,1.0,1,0.2,True,,,,,
0,,0,0.59,False,0.0,,,,
1,,0,0.59,False,0.0,,,,
0,,0,0.41,False,1.0,,,,
1,,0,0.41,True,1.0,,,,
0,,1,0.59,False,0.0,,,,
1,,1,0.59,False,0.0,,,,
0,,1,0.41,False,1.0,,,,
1,,1,0.41,True,1.0,,,,
0,,0,0.54,False,,0.0,,,
1,,0,0.54,True,,0.0,,,
0,,0,0.46,False,,1.0,,,
1,,0,0.46,False,,1.0,,,
0,,1,0.54,False,,0.0,,,
1,,1,0.54,True,,0.0,,,
0,,1,0.46,True,,1.0,,,
1,,1,0.46,True,,1.0,,,
0,,0,0.51,False,,,0.0,,
1,,0,0.51,False,,,0.0,,
0,,0,0.49,True,,,1.0,,
1,,0,0.49,True,,,1.0,,
0,,1,0.51,False,,,0.0,,
1,,1,0.51,False,,,0.0,,
0,,1,0.49,True,,,1.0,,
1,,1,0.49,True,,,1.0,,
0,,0,0.29,False,,,,0.0,0.0
1,,0,0.29,False,,,,0.0,0.0
0,,0,0.29,False,,,,1.0,0.0
1,,0,0.29,False,,,,1.0,0.0
0,,0,0.21,False,,,,0.0,1.0
1,,0,0.21,False,,,,0.0,1.0
0,,0,0.21,True,,,,1.0,1.0
1,,0,0.21,True,,,,1.0,1.0
0,,1,0.29,False,,,,0.0,0.0
1,,1,0.29,False,,,,0.0,0.0
0,,1,0.29,False,,,,1.0,0.0
1,,1,0.29,False,,,,1.0,0.0
0,,1,0.21,False,,,,0.0,1.0
1,,1,0.21,False,,,,0.0,1.0
0,,1,0.21,True,,,,1.0,1.0
1,,1,0.21,True,,,,1.0,1.0
